,season,week,team,stat,data
0,2018,21,Kansas City,average-scoring-margin,8.7
1,2018,21,New Orleans,average-scoring-margin,8.6
2,2018,21,LA Rams,average-scoring-margin,8.6
3,2018,21,Chicago,average-scoring-margin,8.1
4,2018,21,New England,average-scoring-margin,7.2
5,2018,21,Baltimore,average-scoring-margin,5.6
6,2018,21,LA Chargers,average-scoring-margin,5.1
7,2018,21,Indianapolis,average-scoring-margin,4.7
8,2018,21,Seattle,average-scoring-margin,4.6
9,2018,21,Pittsburgh,average-scoring-margin,4.3
10,2018,21,Houston,average-scoring-margin,4.2
11,2018,21,Minnesota,average-scoring-margin,1.2
12,2018,21,Philadelphia,average-scoring-margin,0.8
13,2018,21,Dallas,average-scoring-margin,0.5
14,2018,21,Tennessee,average-scoring-margin,0.4
15,2018,21,Carolina,average-scoring-margin,-0.4
16,2018,21,Atlanta,average-scoring-margin,-0.6
17,2018,21,Denver,average-scoring-margin,-1.3
18,2018,21,Green Bay,average-scoring-margin,-1.5
19,2018,21,Cleveland,average-scoring-margin,-2.1
20,2018,21,Detroit,average-scoring-margin,-2.3
21,2018,21,NY Giants,average-scoring-margin,-2.7
22,2018,21,Tampa Bay,average-scoring-margin,-4.3
23,2018,21,Jacksonville,average-scoring-margin,-4.4
24,2018,21,Washington,average-scoring-margin,-4.9
25,2018,21,Cincinnati,average-scoring-margin,-5.4
26,2018,21,San Francisco,average-scoring-margin,-5.8
27,2018,21,Buffalo,average-scoring-margin,-6.6
28,2018,21,NY Jets,average-scoring-margin,-6.8
29,2018,21,Miami,average-scoring-margin,-7.1
30,2018,21,Las Vegas,average-scoring-margin,-11.1
31,2018,21,Arizona,average-scoring-margin,-12.5
32,2018,21,Kansas City,points-per-play,0.559
33,2018,21,LA Rams,points-per-play,0.484
34,2018,21,New Orleans,points-per-play,0.478
35,2018,21,LA Chargers,points-per-play,0.446
36,2018,21,Seattle,points-per-play,0.423
37,2018,21,New England,points-per-play,0.413
38,2018,21,Atlanta,points-per-play,0.41
39,2018,21,Chicago,points-per-play,0.405
40,2018,21,Pittsburgh,points-per-play,0.405
41,2018,21,Indianapolis,points-per-play,0.392
42,2018,21,Cincinnati,points-per-play,0.392
43,2018,21,Tampa Bay,points-per-play,0.375
44,2018,21,NY Giants,points-per-play,0.375
45,2018,21,Carolina,points-per-play,0.372
46,2018,21,Houston,points-per-play,0.369
47,2018,21,Green Bay,points-per-play,0.366
48,2018,21,Miami,points-per-play,0.363
49,2018,21,Minnesota,points-per-play,0.359
50,2018,21,Cleveland,points-per-play,0.351
51,2018,21,Philadelphia,points-per-play,0.345
52,2018,21,NY Jets,points-per-play,0.343
53,2018,21,San Francisco,points-per-play,0.341
54,2018,21,Baltimore,points-per-play,0.34
55,2018,21,Dallas,points-per-play,0.336
56,2018,21,Tennessee,points-per-play,0.33
57,2018,21,Denver,points-per-play,0.324
58,2018,21,Detroit,points-per-play,0.318
59,2018,21,Las Vegas,points-per-play,0.291
60,2018,21,Washington,points-per-play,0.291
61,2018,21,Buffalo,points-per-play,0.267
62,2018,21,Arizona,points-per-play,0.249
63,2018,21,Jacksonville,points-per-play,0.244
64,2018,21,Kansas City,points-per-play-margin,0.184
65,2018,21,Chicago,points-per-play-margin,0.125
66,2018,21,New Orleans,points-per-play-margin,0.118
67,2018,21,LA Chargers,points-per-play-margin,0.1
68,2018,21,LA Rams,points-per-play-margin,0.087
69,2018,21,New England,points-per-play-margin,0.068
70,2018,21,Seattle,points-per-play-margin,0.06
71,2018,21,Houston,points-per-play-margin,0.06
72,2018,21,Indianapolis,points-per-play-margin,0.058
73,2018,21,Baltimore,points-per-play-margin,0.042
74,2018,21,Pittsburgh,points-per-play-margin,0.04
75,2018,21,Tennessee,points-per-play-margin,0.027
76,2018,21,Minnesota,points-per-play-margin,0.016
77,2018,21,Philadelphia,points-per-play-margin,0.008
78,2018,21,Cleveland,points-per-play-margin,0.002
79,2018,21,Atlanta,points-per-play-margin,0.0
80,2018,21,Dallas,points-per-play-margin,-0.003
81,2018,21,Denver,points-per-play-margin,-0.017
82,2018,21,NY Giants,points-per-play-margin,-0.023
83,2018,21,Green Bay,points-per-play-margin,-0.027
84,2018,21,Cincinnati,points-per-play-margin,-0.027
85,2018,21,Carolina,points-per-play-margin,-0.031
86,2018,21,Miami,points-per-play-margin,-0.06
87,2018,21,Detroit,points-per-play-margin,-0.064
88,2018,21,Washington,points-per-play-margin,-0.07
89,2018,21,NY Jets,points-per-play-margin,-0.073
90,2018,21,Jacksonville,points-per-play-margin,-0.082
91,2018,21,San Francisco,points-per-play-margin,-0.084
92,2018,21,Tampa Bay,points-per-play-margin,-0.089
93,2018,21,Buffalo,points-per-play-margin,-0.119
94,2018,21,Arizona,points-per-play-margin,-0.15
95,2018,21,Las Vegas,points-per-play-margin,-0.189
96,2018,21,Kansas City,touchdowns-per-game,4.4
97,2018,21,LA Rams,touchdowns-per-game,3.6
98,2018,21,New Orleans,touchdowns-per-game,3.6
99,2018,21,New England,touchdowns-per-game,3.4
100,2018,21,Pittsburgh,touchdowns-per-game,3.4
101,2018,21,Seattle,touchdowns-per-game,3.2
102,2018,21,Indianapolis,touchdowns-per-game,3.2
103,2018,21,LA Chargers,touchdowns-per-game,3.1
104,2018,21,Tampa Bay,touchdowns-per-game,3.1
105,2018,21,Atlanta,touchdowns-per-game,3.1
106,2018,21,Chicago,touchdowns-per-game,3.0
107,2018,21,Carolina,touchdowns-per-game,2.9
108,2018,21,Cincinnati,touchdowns-per-game,2.8
109,2018,21,Cleveland,touchdowns-per-game,2.8
110,2018,21,Minnesota,touchdowns-per-game,2.6
111,2018,21,Green Bay,touchdowns-per-game,2.6
112,2018,21,Houston,touchdowns-per-game,2.5
113,2018,21,Baltimore,touchdowns-per-game,2.5
114,2018,21,Philadelphia,touchdowns-per-game,2.5
115,2018,21,Denver,touchdowns-per-game,2.4
116,2018,21,NY Giants,touchdowns-per-game,2.4
117,2018,21,Miami,touchdowns-per-game,2.4
118,2018,21,Dallas,touchdowns-per-game,2.3
119,2018,21,Detroit,touchdowns-per-game,2.2
120,2018,21,San Francisco,touchdowns-per-game,2.2
121,2018,21,NY Jets,touchdowns-per-game,2.1
122,2018,21,Tennessee,touchdowns-per-game,2.1
123,2018,21,Las Vegas,touchdowns-per-game,1.9
124,2018,21,Buffalo,touchdowns-per-game,1.8
125,2018,21,Washington,touchdowns-per-game,1.8
126,2018,21,Arizona,touchdowns-per-game,1.7
127,2018,21,Jacksonville,touchdowns-per-game,1.6
128,2018,21,LA Rams,red-zone-scoring-attempts-per-game,4.9
129,2018,21,Kansas City,red-zone-scoring-attempts-per-game,4.3
130,2018,21,New Orleans,red-zone-scoring-attempts-per-game,4.2
131,2018,21,Indianapolis,red-zone-scoring-attempts-per-game,3.9
132,2018,21,New England,red-zone-scoring-attempts-per-game,3.8
133,2018,21,Tampa Bay,red-zone-scoring-attempts-per-game,3.8
134,2018,21,Houston,red-zone-scoring-attempts-per-game,3.6
135,2018,21,Carolina,red-zone-scoring-attempts-per-game,3.6
136,2018,21,Baltimore,red-zone-scoring-attempts-per-game,3.6
137,2018,21,Seattle,red-zone-scoring-attempts-per-game,3.4
138,2018,21,Philadelphia,red-zone-scoring-attempts-per-game,3.4
139,2018,21,NY Giants,red-zone-scoring-attempts-per-game,3.4
140,2018,21,Chicago,red-zone-scoring-attempts-per-game,3.4
141,2018,21,LA Chargers,red-zone-scoring-attempts-per-game,3.3
142,2018,21,San Francisco,red-zone-scoring-attempts-per-game,3.2
143,2018,21,Minnesota,red-zone-scoring-attempts-per-game,3.1
144,2018,21,Atlanta,red-zone-scoring-attempts-per-game,3.1
145,2018,21,Dallas,red-zone-scoring-attempts-per-game,3.1
146,2018,21,Pittsburgh,red-zone-scoring-attempts-per-game,3.1
147,2018,21,Detroit,red-zone-scoring-attempts-per-game,3.1
148,2018,21,Cleveland,red-zone-scoring-attempts-per-game,3.0
149,2018,21,Tennessee,red-zone-scoring-attempts-per-game,2.9
150,2018,21,Green Bay,red-zone-scoring-attempts-per-game,2.9
151,2018,21,NY Jets,red-zone-scoring-attempts-per-game,2.8
152,2018,21,Cincinnati,red-zone-scoring-attempts-per-game,2.8
153,2018,21,Denver,red-zone-scoring-attempts-per-game,2.8
154,2018,21,Las Vegas,red-zone-scoring-attempts-per-game,2.7
155,2018,21,Washington,red-zone-scoring-attempts-per-game,2.5
156,2018,21,Buffalo,red-zone-scoring-attempts-per-game,2.3
157,2018,21,Jacksonville,red-zone-scoring-attempts-per-game,2.1
158,2018,21,Miami,red-zone-scoring-attempts-per-game,1.9
159,2018,21,Arizona,red-zone-scoring-attempts-per-game,1.8
160,2018,21,Pittsburgh,red-zone-scoring-pct,73.47%
161,2018,21,Kansas City,red-zone-scoring-pct,73.08%
162,2018,21,Cincinnati,red-zone-scoring-pct,71.11%
163,2018,21,New Orleans,red-zone-scoring-pct,68.42%
164,2018,21,Indianapolis,red-zone-scoring-pct,67.14%
165,2018,21,Cleveland,red-zone-scoring-pct,66.67%
166,2018,21,Seattle,red-zone-scoring-pct,65.52%
167,2018,21,LA Chargers,red-zone-scoring-pct,64.41%
