,season,week,team,stat,data
0,2010,21,New England,average-scoring-margin,11.6
1,2010,21,Green Bay,average-scoring-margin,9.8
2,2010,21,Pittsburgh,average-scoring-margin,8.6
3,2010,21,LA Chargers,average-scoring-margin,7.4
4,2010,21,Atlanta,average-scoring-margin,5.8
5,2010,21,Baltimore,average-scoring-margin,5.7
6,2010,21,New Orleans,average-scoring-margin,4.2
7,2010,21,NY Jets,average-scoring-margin,3.5
8,2010,21,Philadelphia,average-scoring-margin,3.4
9,2010,21,NY Giants,average-scoring-margin,2.9
10,2010,21,Chicago,average-scoring-margin,2.9
11,2010,21,Indianapolis,average-scoring-margin,2.7
12,2010,21,Las Vegas,average-scoring-margin,2.4
13,2010,21,Tampa Bay,average-scoring-margin,1.4
14,2010,21,Tennessee,average-scoring-margin,1.1
15,2010,21,Kansas City,average-scoring-margin,1.0
16,2010,21,Detroit,average-scoring-margin,-0.4
17,2010,21,Houston,average-scoring-margin,-2.3
18,2010,21,LA Rams,average-scoring-margin,-2.4
19,2010,21,San Francisco,average-scoring-margin,-2.6
20,2010,21,Dallas,average-scoring-margin,-2.6
21,2010,21,Miami,average-scoring-margin,-3.8
22,2010,21,Cleveland,average-scoring-margin,-3.8
23,2010,21,Jacksonville,average-scoring-margin,-4.1
24,2010,21,Minnesota,average-scoring-margin,-4.2
25,2010,21,Cincinnati,average-scoring-margin,-4.6
26,2010,21,Washington,average-scoring-margin,-4.7
27,2010,21,Seattle,average-scoring-margin,-5.7
28,2010,21,Denver,average-scoring-margin,-7.9
29,2010,21,Buffalo,average-scoring-margin,-8.9
30,2010,21,Arizona,average-scoring-margin,-9.1
31,2010,21,Carolina,average-scoring-margin,-13.3
32,2010,21,New England,points-per-play,0.507
33,2010,21,LA Chargers,points-per-play,0.424
34,2010,21,Philadelphia,points-per-play,0.414
35,2010,21,Green Bay,points-per-play,0.401
36,2010,21,Indianapolis,points-per-play,0.395
37,2010,21,Las Vegas,points-per-play,0.395
38,2010,21,Tennessee,points-per-play,0.393
39,2010,21,Pittsburgh,points-per-play,0.382
40,2010,21,NY Giants,points-per-play,0.381
41,2010,21,Dallas,points-per-play,0.38
42,2010,21,Atlanta,points-per-play,0.38
43,2010,21,Houston,points-per-play,0.379
44,2010,21,New Orleans,points-per-play,0.365
45,2010,21,Baltimore,points-per-play,0.358
46,2010,21,Tampa Bay,points-per-play,0.357
47,2010,21,Chicago,points-per-play,0.356
48,2010,21,Jacksonville,points-per-play,0.347
49,2010,21,Seattle,points-per-play,0.346
50,2010,21,Detroit,points-per-play,0.34
51,2010,21,NY Jets,points-per-play,0.34
52,2010,21,Kansas City,points-per-play,0.338
53,2010,21,Denver,points-per-play,0.338
54,2010,21,San Francisco,points-per-play,0.323
55,2010,21,Arizona,points-per-play,0.31
56,2010,21,Cincinnati,points-per-play,0.308
57,2010,21,Washington,points-per-play,0.301
58,2010,21,Buffalo,points-per-play,0.297
59,2010,21,Cleveland,points-per-play,0.292
60,2010,21,Minnesota,points-per-play,0.286
61,2010,21,LA Rams,points-per-play,0.274
62,2010,21,Miami,points-per-play,0.263
63,2010,21,Carolina,points-per-play,0.204
64,2010,21,New England,points-per-play-margin,0.199
65,2010,21,Green Bay,points-per-play-margin,0.146
66,2010,21,Pittsburgh,points-per-play-margin,0.128
67,2010,21,Tennessee,points-per-play-margin,0.095
68,2010,21,Baltimore,points-per-play-margin,0.082
69,2010,21,LA Chargers,points-per-play-margin,0.082
70,2010,21,Chicago,points-per-play-margin,0.061
71,2010,21,Atlanta,points-per-play-margin,0.052
72,2010,21,Philadelphia,points-per-play-margin,0.038
73,2010,21,Tampa Bay,points-per-play-margin,0.036
74,2010,21,NY Jets,points-per-play-margin,0.029
75,2010,21,NY Giants,points-per-play-margin,0.025
76,2010,21,New Orleans,points-per-play-margin,0.02
77,2010,21,Las Vegas,points-per-play-margin,0.02
78,2010,21,Indianapolis,points-per-play-margin,0.02
79,2010,21,Kansas City,points-per-play-margin,0.016
80,2010,21,San Francisco,points-per-play-margin,-0.012
81,2010,21,Cleveland,points-per-play-margin,-0.027
82,2010,21,Detroit,points-per-play-margin,-0.027
83,2010,21,Seattle,points-per-play-margin,-0.042
84,2010,21,Houston,points-per-play-margin,-0.044
85,2010,21,LA Rams,points-per-play-margin,-0.048
86,2010,21,Washington,points-per-play-margin,-0.057
87,2010,21,Dallas,points-per-play-margin,-0.066
88,2010,21,Minnesota,points-per-play-margin,-0.07
89,2010,21,Miami,points-per-play-margin,-0.075
90,2010,21,Arizona,points-per-play-margin,-0.087
91,2010,21,Jacksonville,points-per-play-margin,-0.095
92,2010,21,Buffalo,points-per-play-margin,-0.1
93,2010,21,Cincinnati,points-per-play-margin,-0.105
94,2010,21,Denver,points-per-play-margin,-0.108
95,2010,21,Carolina,points-per-play-margin,-0.181
96,2010,21,New England,touchdowns-per-game,3.9
