,season,week,team,stat,data
0,2007,21,New England,average-scoring-margin,18.6
1,2007,21,Indianapolis,average-scoring-margin,10.8
2,2007,21,Green Bay,average-scoring-margin,9.1
3,2007,21,Dallas,average-scoring-margin,7.4
4,2007,21,Pittsburgh,average-scoring-margin,7.2
5,2007,21,LA Chargers,average-scoring-margin,7.1
6,2007,21,Seattle,average-scoring-margin,5.6
7,2007,21,Jacksonville,average-scoring-margin,5.4
8,2007,21,Minnesota,average-scoring-margin,3.4
9,2007,21,Tampa Bay,average-scoring-margin,3.2
10,2007,21,Philadelphia,average-scoring-margin,2.3
11,2007,21,NY Giants,average-scoring-margin,2.1
12,2007,21,Cleveland,average-scoring-margin,1.3
13,2007,21,Arizona,average-scoring-margin,0.3
14,2007,21,Washington,average-scoring-margin,0.2
15,2007,21,Houston,average-scoring-margin,-0.3
16,2007,21,Cincinnati,average-scoring-margin,-0.3
17,2007,21,Tennessee,average-scoring-margin,-0.4
18,2007,21,New Orleans,average-scoring-margin,-0.6
19,2007,21,Chicago,average-scoring-margin,-0.9
20,2007,21,Carolina,average-scoring-margin,-5.0
21,2007,21,NY Jets,average-scoring-margin,-5.4
22,2007,21,Denver,average-scoring-margin,-5.6
23,2007,21,Detroit,average-scoring-margin,-6.1
24,2007,21,Buffalo,average-scoring-margin,-6.4
25,2007,21,Kansas City,average-scoring-margin,-6.8
26,2007,21,Baltimore,average-scoring-margin,-6.8
27,2007,21,Las Vegas,average-scoring-margin,-7.2
28,2007,21,San Francisco,average-scoring-margin,-9.1
29,2007,21,Atlanta,average-scoring-margin,-9.7
30,2007,21,Miami,average-scoring-margin,-10.6
31,2007,21,LA Rams,average-scoring-margin,-10.9
32,2007,21,New England,points-per-play,0.542
33,2007,21,Green Bay,points-per-play,0.455
34,2007,21,Dallas,points-per-play,0.451
35,2007,21,Indianapolis,points-per-play,0.436
36,2007,21,Jacksonville,points-per-play,0.408
37,2007,21,LA Chargers,points-per-play,0.406
38,2007,21,Cleveland,points-per-play,0.4
39,2007,21,Arizona,points-per-play,0.398
40,2007,21,Pittsburgh,points-per-play,0.393
41,2007,21,Houston,points-per-play,0.392
42,2007,21,Seattle,points-per-play,0.385
43,2007,21,Minnesota,points-per-play,0.379
44,2007,21,Cincinnati,points-per-play,0.377
45,2007,21,NY Giants,points-per-play,0.36
46,2007,21,Detroit,points-per-play,0.359
47,2007,21,New Orleans,points-per-play,0.358
48,2007,21,Tampa Bay,points-per-play,0.336
49,2007,21,Denver,points-per-play,0.328
50,2007,21,Chicago,points-per-play,0.323
51,2007,21,Philadelphia,points-per-play,0.321
52,2007,21,Washington,points-per-play,0.307
53,2007,21,Las Vegas,points-per-play,0.283
54,2007,21,Tennessee,points-per-play,0.279
55,2007,21,Buffalo,points-per-play,0.274
56,2007,21,Miami,points-per-play,0.27
57,2007,21,Carolina,points-per-play,0.27
58,2007,21,NY Jets,points-per-play,0.265
59,2007,21,Baltimore,points-per-play,0.264
60,2007,21,Atlanta,points-per-play,0.262
61,2007,21,LA Rams,points-per-play,0.256
62,2007,21,San Francisco,points-per-play,0.237
63,2007,21,Kansas City,points-per-play,0.226
64,2007,21,New England,points-per-play-margin,0.251
65,2007,21,Green Bay,points-per-play-margin,0.158
66,2007,21,Indianapolis,points-per-play-margin,0.156
67,2007,21,LA Chargers,points-per-play-margin,0.128
68,2007,21,Dallas,points-per-play-margin,0.122
69,2007,21,Seattle,points-per-play-margin,0.09
70,2007,21,Pittsburgh,points-per-play-margin,0.089
71,2007,21,Minnesota,points-per-play-margin,0.086
72,2007,21,Jacksonville,points-per-play-margin,0.078
73,2007,21,Tampa Bay,points-per-play-margin,0.052
74,2007,21,Cleveland,points-per-play-margin,0.042
75,2007,21,NY Giants,points-per-play-margin,0.016
76,2007,21,Philadelphia,points-per-play-margin,0.014
77,2007,21,Houston,points-per-play-margin,0.005
78,2007,21,Arizona,points-per-play-margin,0.004
79,2007,21,Cincinnati,points-per-play-margin,-0.004
80,2007,21,Washington,points-per-play-margin,-0.013
