,season,week,team,stat,data
0,2009,21,New Orleans,average-scoring-margin,11.3
1,2009,21,Minnesota,average-scoring-margin,10.3
2,2009,21,Green Bay,average-scoring-margin,9.3
3,2009,21,Indianapolis,average-scoring-margin,7.7
4,2009,21,LA Chargers,average-scoring-margin,7.7
5,2009,21,Baltimore,average-scoring-margin,7.3
6,2009,21,New England,average-scoring-margin,7.2
7,2009,21,NY Jets,average-scoring-margin,5.9
8,2009,21,Dallas,average-scoring-margin,5.6
9,2009,21,Philadelphia,average-scoring-margin,4.2
10,2009,21,Houston,average-scoring-margin,3.4
11,2009,21,San Francisco,average-scoring-margin,3.1
12,2009,21,Pittsburgh,average-scoring-margin,2.8
13,2009,21,Atlanta,average-scoring-margin,2.4
14,2009,21,Arizona,average-scoring-margin,1.4
15,2009,21,Carolina,average-scoring-margin,0.4
16,2009,21,Cincinnati,average-scoring-margin,0.2
17,2009,21,Denver,average-scoring-margin,0.1
18,2009,21,NY Giants,average-scoring-margin,-1.6
19,2009,21,Miami,average-scoring-margin,-1.9
20,2009,21,Chicago,average-scoring-margin,-3.0
21,2009,21,Tennessee,average-scoring-margin,-3.0
22,2009,21,Buffalo,average-scoring-margin,-4.3
23,2009,21,Washington,average-scoring-margin,-4.4
24,2009,21,Jacksonville,average-scoring-margin,-5.6
25,2009,21,Seattle,average-scoring-margin,-6.9
26,2009,21,Cleveland,average-scoring-margin,-8.1
27,2009,21,Kansas City,average-scoring-margin,-8.1
28,2009,21,Tampa Bay,average-scoring-margin,-9.8
29,2009,21,Las Vegas,average-scoring-margin,-11.4
30,2009,21,Detroit,average-scoring-margin,-14.5
31,2009,21,LA Rams,average-scoring-margin,-16.3
32,2009,21,New Orleans,points-per-play,0.508
33,2009,21,Green Bay,points-per-play,0.456
34,2009,21,LA Chargers,points-per-play,0.453
35,2009,21,Minnesota,points-per-play,0.445
36,2009,21,Philadelphia,points-per-play,0.43
37,2009,21,Indianapolis,points-per-play,0.418
38,2009,21,Arizona,points-per-play,0.402
39,2009,21,NY Giants,points-per-play,0.395
40,2009,21,New England,points-per-play,0.387
41,2009,21,Baltimore,points-per-play,0.378
42,2009,21,Houston,points-per-play,0.372
43,2009,21,Pittsburgh,points-per-play,0.363
44,2009,21,Tennessee,points-per-play,0.358
45,2009,21,San Francisco,points-per-play,0.351
46,2009,21,Atlanta,points-per-play,0.346
47,2009,21,Dallas,points-per-play,0.344
48,2009,21,Chicago,points-per-play,0.337
49,2009,21,NY Jets,points-per-play,0.336
50,2009,21,Miami,points-per-play,0.331
51,2009,21,Denver,points-per-play,0.316
52,2009,21,Carolina,points-per-play,0.308
53,2009,21,Cincinnati,points-per-play,0.298
54,2009,21,Kansas City,points-per-play,0.289
55,2009,21,Jacksonville,points-per-play,0.287
56,2009,21,Buffalo,points-per-play,0.283
57,2009,21,Washington,points-per-play,0.274
58,2009,21,Seattle,points-per-play,0.268
59,2009,21,Tampa Bay,points-per-play,0.254
60,2009,21,Detroit,points-per-play,0.253
61,2009,21,Cleveland,points-per-play,0.252
62,2009,21,Las Vegas,points-per-play,0.209
63,2009,21,LA Rams,points-per-play,0.175
64,2009,21,New Orleans,points-per-play-margin,0.183
65,2009,21,Indianapolis,points-per-play-margin,0.145
66,2009,21,LA Chargers,points-per-play-margin,0.134
67,2009,21,Minnesota,points-per-play-margin,0.119
68,2009,21,Baltimore,points-per-play-margin,0.115
69,2009,21,Green Bay,points-per-play-margin,0.11
70,2009,21,Philadelphia,points-per-play-margin,0.095
71,2009,21,San Francisco,points-per-play-margin,0.084
72,2009,21,NY Jets,points-per-play-margin,0.078
73,2009,21,Dallas,points-per-play-margin,0.072
74,2009,21,New England,points-per-play-margin,0.07
75,2009,21,Arizona,points-per-play-margin,0.048
76,2009,21,Houston,points-per-play-margin,0.03
77,2009,21,Pittsburgh,points-per-play-margin,0.028
78,2009,21,Atlanta,points-per-play-margin,0.02
79,2009,21,Denver,points-per-play-margin,-0.006
80,2009,21,Cincinnati,points-per-play-margin,-0.006
81,2009,21,Carolina,points-per-play-margin,-0.008
82,2009,21,Buffalo,points-per-play-margin,-0.017
83,2009,21,Chicago,points-per-play-margin,-0.026
84,2009,21,Tennessee,points-per-play-margin,-0.03
85,2009,21,NY Giants,points-per-play-margin,-0.053
86,2009,21,Washington,points-per-play-margin,-0.062
87,2009,21,Miami,points-per-play-margin,-0.072
88,2009,21,Cleveland,points-per-play-margin,-0.097
89,2009,21,Jacksonville,points-per-play-margin,-0.1
90,2009,21,Kansas City,points-per-play-margin,-0.111
91,2009,21,Seattle,points-per-play-margin,-0.113
92,2009,21,Tampa Bay,points-per-play-margin,-0.131
93,2009,21,Las Vegas,points-per-play-margin,-0.162
94,2009,21,Detroit,points-per-play-margin,-0.227
95,2009,21,LA Rams,points-per-play-margin,-0.254
96,2009,21,New Orleans,touchdowns-per-game,4.1
97,2009,21,Minnesota,touchdowns-per-game,3.6
98,2009,21,Green Bay,touchdowns-per-game,3.5
99,2009,21,Indianapolis,touchdowns-per-game,3.2
100,2009,21,LA Chargers,touchdowns-per-game,3.1
101,2009,21,New England,touchdowns-per-game,3.1
102,2009,21,Arizona,touchdowns-per-game,3.1
103,2009,21,Philadelphia,touchdowns-per-game,2.9
104,2009,21,NY Giants,touchdowns-per-game,2.9
105,2009,21,Houston,touchdowns-per-game,2.9
106,2009,21,Baltimore,touchdowns-per-game,2.8
107,2009,21,Atlanta,touchdowns-per-game,2.8
108,2009,21,Dallas,touchdowns-per-game,2.6
109,2009,21,Pittsburgh,touchdowns-per-game,2.6
110,2009,21,Miami,touchdowns-per-game,2.6
111,2009,21,San Francisco,touchdowns-per-game,2.4
112,2009,21,Tennessee,touchdowns-per-game,2.4
113,2009,21,NY Jets,touchdowns-per-game,2.3
114,2009,21,Chicago,touchdowns-per-game,2.3
115,2009,21,Carolina,touchdowns-per-game,2.2
116,2009,21,Jacksonville,touchdowns-per-game,2.1
117,2009,21,Denver,touchdowns-per-game,2.1
118,2009,21,Cincinnati,touchdowns-per-game,2.1
119,2009,21,Kansas City,touchdowns-per-game,1.9
120,2009,21,Seattle,touchdowns-per-game,1.9
121,2009,21,Washington,touchdowns-per-game,1.8
122,2009,21,Detroit,touchdowns-per-game,1.8
123,2009,21,Tampa Bay,touchdowns-per-game,1.8
124,2009,21,Cleveland,touchdowns-per-game,1.6
125,2009,21,Buffalo,touchdowns-per-game,1.6
126,2009,21,LA Rams,touchdowns-per-game,1.1
127,2009,21,Las Vegas,touchdowns-per-game,1.1
128,2009,21,Minnesota,red-zone-scoring-attempts-per-game,4.4
129,2009,21,New Orleans,red-zone-scoring-attempts-per-game,4.3
130,2009,21,New England,red-zone-scoring-attempts-per-game,3.9
131,2009,21,LA Chargers,red-zone-scoring-attempts-per-game,3.9
132,2009,21,Green Bay,red-zone-scoring-attempts-per-game,3.8
133,2009,21,Houston,red-zone-scoring-attempts-per-game,3.8
134,2009,21,Baltimore,red-zone-scoring-attempts-per-game,3.6
135,2009,21,Atlanta,red-zone-scoring-attempts-per-game,3.5
136,2009,21,Pittsburgh,red-zone-scoring-attempts-per-game,3.5
137,2009,21,Arizona,red-zone-scoring-attempts-per-game,3.5
138,2009,21,NY Giants,red-zone-scoring-attempts-per-game,3.5
139,2009,21,Indianapolis,red-zone-scoring-attempts-per-game,3.4
140,2009,21,Miami,red-zone-scoring-attempts-per-game,3.4
141,2009,21,Denver,red-zone-scoring-attempts-per-game,3.3
142,2009,21,Chicago,red-zone-scoring-attempts-per-game,3.2
143,2009,21,Dallas,red-zone-scoring-attempts-per-game,3.2
144,2009,21,Cincinnati,red-zone-scoring-attempts-per-game,3.1
145,2009,21,Philadelphia,red-zone-scoring-attempts-per-game,3.1
146,2009,21,Seattle,red-zone-scoring-attempts-per-game,3.0
147,2009,21,Jacksonville,red-zone-scoring-attempts-per-game,2.9
148,2009,21,Washington,red-zone-scoring-attempts-per-game,2.9
149,2009,21,NY Jets,red-zone-scoring-attempts-per-game,2.8
150,2009,21,Carolina,red-zone-scoring-attempts-per-game,2.5
151,2009,21,Tennessee,red-zone-scoring-attempts-per-game,2.4
152,2009,21,Cleveland,red-zone-scoring-attempts-per-game,2.4
153,2009,21,San Francisco,red-zone-scoring-attempts-per-game,2.4
154,2009,21,Kansas City,red-zone-scoring-attempts-per-game,2.4
155,2009,21,Buffalo,red-zone-scoring-attempts-per-game,2.4
156,2009,21,Detroit,red-zone-scoring-attempts-per-game,2.3
157,2009,21,LA Rams,red-zone-scoring-attempts-per-game,2.1
158,2009,21,Tampa Bay,red-zone-scoring-attempts-per-game,2.1
159,2009,21,Las Vegas,red-zone-scoring-attempts-per-game,1.8
160,2009,21,Arizona,red-zone-scoring-pct,69.84%
161,2009,21,Miami,red-zone-scoring-pct,64.81%
162,2009,21,Indianapolis,red-zone-scoring-pct,64.52%
163,2009,21,Minnesota,red-zone-scoring-pct,62.03%
164,2009,21,New Orleans,red-zone-scoring-pct,61.04%
165,2009,21,San Francisco,red-zone-scoring-pct,57.89%
166,2009,21,Green Bay,red-zone-scoring-pct,56.92%
167,2009,21,Washington,red-zone-scoring-pct,56.52%
168,2009,21,Tennessee,red-zone-scoring-pct,56.41%
169,2009,21,Tampa Bay,red-zone-scoring-pct,54.55%
170,2009,21,LA Chargers,red-zone-scoring-pct,54.55%
171,2009,21,New England,red-zone-scoring-pct,53.73%
172,2009,21,Houston,red-zone-scoring-pct,52.46%
173,2009,21,Atlanta,red-zone-scoring-pct,51.79%
174,2009,21,Baltimore,red-zone-scoring-pct,51.56%
175,2009,21,Jacksonville,red-zone-scoring-pct,51.06%
176,2009,21,NY Jets,red-zone-scoring-pct,50.94%
177,2009,21,Dallas,red-zone-scoring-pct,50.88%
178,2009,21,Carolina,red-zone-scoring-pct,50.00%
179,2009,21,Cincinnati,red-zone-scoring-pct,49.06%
180,2009,21,Philadelphia,red-zone-scoring-pct,49.06%
181,2009,21,NY Giants,red-zone-scoring-pct,48.21%
182,2009,21,Pittsburgh,red-zone-scoring-pct,48.21%
183,2009,21,Denver,red-zone-scoring-pct,48.08%
184,2009,21,Kansas City,red-zone-scoring-pct,47.37%
185,2009,21,Detroit,red-zone-scoring-pct,47.22%
186,2009,21,Chicago,red-zone-scoring-pct,47.06%
187,2009,21,Cleveland,red-zone-scoring-pct,43.59%
188,2009,21,Las Vegas,red-zone-scoring-pct,41.38%
189,2009,21,Seattle,red-zone-scoring-pct,39.58%
190,2009,21,LA Rams,red-zone-scoring-pct,32.35%
191,2009,21,Buffalo,red-zone-scoring-pct,31.58%
192,2009,21,Philadelphia,two-point-conversion-pct,100.00%
193,2009,21,Dallas,two-point-conversion-pct,100.00%
194,2009,21,Chicago,two-point-conversion-pct,100.00%
195,2009,21,Carolina,two-point-conversion-pct,66.67%
196,2009,21,Green Bay,two-point-conversion-pct,60.00%
197,2009,21,Detroit,two-point-conversion-pct,50.00%
198,2009,21,Tennessee,two-point-conversion-pct,50.00%
199,2009,21,Cleveland,two-point-conversion-pct,50.00%
200,2009,21,Houston,two-point-conversion-pct,50.00%
201,2009,21,Tampa Bay,two-point-conversion-pct,50.00%
202,2009,21,Kansas City,two-point-conversion-pct,50.00%
203,2009,21,Cincinnati,two-point-conversion-pct,40.00%
204,2009,21,NY Jets,two-point-conversion-pct,40.00%
205,2009,21,Jacksonville,two-point-conversion-pct,33.33%
206,2009,21,Miami,two-point-conversion-pct,33.33%
207,2009,21,New England,two-point-conversion-pct,33.33%
208,2009,21,NY Giants,two-point-conversion-pct,0.00%
209,2009,21,LA Rams,two-point-conversion-pct,0.00%
210,2009,21,Baltimore,two-point-conversion-pct,0.00%
211,2009,21,Seattle,two-point-conversion-pct,0.00%
212,2009,21,Minnesota,two-point-conversion-pct,0.00%
213,2009,21,Indianapolis,two-point-conversion-pct,0.00%
214,2009,21,Atlanta,two-point-conversion-pct,0.00%
215,2009,21,Washington,two-point-conversion-pct,0.00%
216,2009,21,New Orleans,two-point-conversion-pct,0.00%
217,2009,21,Denver,two-point-conversion-pct,0.00%
218,2009,21,Buffalo,two-point-conversion-pct,0.00%
219,2009,21,LA Chargers,two-point-conversion-pct,--
220,2009,21,Pittsburgh,two-point-conversion-pct,--
221,2009,21,Las Vegas,two-point-conversion-pct,--
222,2009,21,San Francisco,two-point-conversion-pct,--
223,2009,21,Arizona,two-point-conversion-pct,--
224,2009,21,New Orleans,offensive-touchdowns-per-game,3.6
225,2009,21,Minnesota,offensive-touchdowns-per-game,3.4
226,2009,21,Green Bay,offensive-touchdowns-per-game,3.3
227,2009,21,Indianapolis,offensive-touchdowns-per-game,3.1
228,2009,21,New England,offensive-touchdowns-per-game,2.9
229,2009,21,Arizona,offensive-touchdowns-per-game,2.8
230,2009,21,LA Chargers,offensive-touchdowns-per-game,2.8
231,2009,21,Houston,offensive-touchdowns-per-game,2.6
232,2009,21,NY Giants,offensive-touchdowns-per-game,2.6
233,2009,21,Baltimore,offensive-touchdowns-per-game,2.6
234,2009,21,Atlanta,offensive-touchdowns-per-game,2.6
235,2009,21,Philadelphia,offensive-touchdowns-per-game,2.5
236,2009,21,Dallas,offensive-touchdowns-per-game,2.4
237,2009,21,Pittsburgh,offensive-touchdowns-per-game,2.4
238,2009,21,Miami,offensive-touchdowns-per-game,2.3
239,2009,21,San Francisco,offensive-touchdowns-per-game,2.2
240,2009,21,Tennessee,offensive-touchdowns-per-game,2.2
241,2009,21,Jacksonville,offensive-touchdowns-per-game,2.1
242,2009,21,Carolina,offensive-touchdowns-per-game,2.1
243,2009,21,NY Jets,offensive-touchdowns-per-game,2.1
244,2009,21,Chicago,offensive-touchdowns-per-game,2.1
245,2009,21,Cincinnati,offensive-touchdowns-per-game,1.9
246,2009,21,Denver,offensive-touchdowns-per-game,1.9
247,2009,21,Washington,offensive-touchdowns-per-game,1.8
248,2009,21,Seattle,offensive-touchdowns-per-game,1.7
249,2009,21,Kansas City,offensive-touchdowns-per-game,1.6
250,2009,21,Detroit,offensive-touchdowns-per-game,1.6
251,2009,21,Tampa Bay,offensive-touchdowns-per-game,1.4
252,2009,21,Buffalo,offensive-touchdowns-per-game,1.4
253,2009,21,Cleveland,offensive-touchdowns-per-game,1.3
254,2009,21,Las Vegas,offensive-touchdowns-per-game,1.1
255,2009,21,LA Rams,offensive-touchdowns-per-game,1.0
256,2009,21,New Orleans,defensive-touchdowns-per-game,0.4
257,2009,21,Tennessee,defensive-touchdowns-per-game,0.3
258,2009,21,Green Bay,defensive-touchdowns-per-game,0.2
259,2009,21,Philadelphia,defensive-touchdowns-per-game,0.2
260,2009,21,Detroit,defensive-touchdowns-per-game,0.2
261,2009,21,San Francisco,defensive-touchdowns-per-game,0.2
262,2009,21,Houston,defensive-touchdowns-per-game,0.2
263,2009,21,Kansas City,defensive-touchdowns-per-game,0.2
264,2009,21,NY Giants,defensive-touchdowns-per-game,0.2
265,2009,21,Seattle,defensive-touchdowns-per-game,0.2
266,2009,21,Atlanta,defensive-touchdowns-per-game,0.2
267,2009,21,Pittsburgh,defensive-touchdowns-per-game,0.2
268,2009,21,New England,defensive-touchdowns-per-game,0.2
269,2009,21,LA Chargers,defensive-touchdowns-per-game,0.2
270,2009,21,Cincinnati,defensive-touchdowns-per-game,0.2
271,2009,21,Baltimore,defensive-touchdowns-per-game,0.2
272,2009,21,Miami,defensive-touchdowns-per-game,0.1
273,2009,21,Tampa Bay,defensive-touchdowns-per-game,0.1
274,2009,21,Denver,defensive-touchdowns-per-game,0.1
275,2009,21,Buffalo,defensive-touchdowns-per-game,0.1
276,2009,21,Arizona,defensive-touchdowns-per-game,0.1
277,2009,21,Indianapolis,defensive-touchdowns-per-game,0.1
278,2009,21,NY Jets,defensive-touchdowns-per-game,0.1
279,2009,21,Chicago,defensive-touchdowns-per-game,0.1
280,2009,21,Carolina,defensive-touchdowns-per-game,0.1
281,2009,21,LA Rams,defensive-touchdowns-per-game,0.1
282,2009,21,Minnesota,defensive-touchdowns-per-game,0.1
283,2009,21,Dallas,defensive-touchdowns-per-game,0.1
284,2009,21,Jacksonville,defensive-touchdowns-per-game,0.0
285,2009,21,Cleveland,defensive-touchdowns-per-game,0.0
286,2009,21,Washington,defensive-touchdowns-per-game,0.0
287,2009,21,Las Vegas,defensive-touchdowns-per-game,0.0
288,2009,21,Cleveland,special-teams-touchdowns-per-game,0.3
289,2009,21,Tampa Bay,special-teams-touchdowns-per-game,0.2
290,2009,21,Chicago,special-teams-touchdowns-per-game,0.1
291,2009,21,Miami,special-teams-touchdowns-per-game,0.1
292,2009,21,Kansas City,special-teams-touchdowns-per-game,0.1
293,2009,21,Denver,special-teams-touchdowns-per-game,0.1
294,2009,21,LA Chargers,special-teams-touchdowns-per-game,0.1
295,2009,21,Philadelphia,special-teams-touchdowns-per-game,0.1
296,2009,21,Minnesota,special-teams-touchdowns-per-game,0.1
297,2009,21,Dallas,special-teams-touchdowns-per-game,0.1
298,2009,21,New Orleans,special-teams-touchdowns-per-game,0.1
299,2009,21,Arizona,special-teams-touchdowns-per-game,0.1
300,2009,21,NY Jets,special-teams-touchdowns-per-game,0.1
301,2009,21,NY Giants,special-teams-touchdowns-per-game,0.1
302,2009,21,San Francisco,special-teams-touchdowns-per-game,0.1
303,2009,21,Houston,special-teams-touchdowns-per-game,0.1
304,2009,21,Cincinnati,special-teams-touchdowns-per-game,0.1
305,2009,21,Baltimore,special-teams-touchdowns-per-game,0.1
306,2009,21,Indianapolis,special-teams-touchdowns-per-game,0.1
307,2009,21,LA Rams,special-teams-touchdowns-per-game,0.0
308,2009,21,Green Bay,special-teams-touchdowns-per-game,0.0
309,2009,21,Seattle,special-teams-touchdowns-per-game,0.0
310,2009,21,Atlanta,special-teams-touchdowns-per-game,0.0
311,2009,21,Washington,special-teams-touchdowns-per-game,0.0
312,2009,21,Pittsburgh,special-teams-touchdowns-per-game,0.0
313,2009,21,Las Vegas,special-teams-touchdowns-per-game,0.0
314,2009,21,Detroit,special-teams-touchdowns-per-game,0.0
315,2009,21,Jacksonville,special-teams-touchdowns-per-game,0.0
316,2009,21,Tennessee,special-teams-touchdowns-per-game,0.0
317,2009,21,New England,special-teams-touchdowns-per-game,0.0
318,2009,21,Buffalo,special-teams-touchdowns-per-game,0.0
319,2009,21,Carolina,special-teams-touchdowns-per-game,0.0
320,2009,21,New Orleans,1st-half-points-per-game,17.2
321,2009,21,New England,1st-half-points-per-game,17.0
322,2009,21,Philadelphia,1st-half-points-per-game,16.5
323,2009,21,Green Bay,1st-half-points-per-game,16.4
324,2009,21,Indianapolis,1st-half-points-per-game,15.2
325,2009,21,Minnesota,1st-half-points-per-game,14.2
326,2009,21,Houston,1st-half-points-per-game,13.8
327,2009,21,Arizona,1st-half-points-per-game,13.7
328,2009,21,LA Chargers,1st-half-points-per-game,13.5
329,2009,21,NY Giants,1st-half-points-per-game,13.5
330,2009,21,Pittsburgh,1st-half-points-per-game,12.9
331,2009,21,Atlanta,1st-half-points-per-game,12.1
332,2009,21,NY Jets,1st-half-points-per-game,11.6
333,2009,21,Tennessee,1st-half-points-per-game,11.3
334,2009,21,Carolina,1st-half-points-per-game,11.1
335,2009,21,Dallas,1st-half-points-per-game,11.1
336,2009,21,Cincinnati,1st-half-points-per-game,10.9
337,2009,21,Baltimore,1st-half-points-per-game,10.3
338,2009,21,Miami,1st-half-points-per-game,10.2
339,2009,21,Jacksonville,1st-half-points-per-game,10.1
340,2009,21,Seattle,1st-half-points-per-game,9.7
341,2009,21,San Francisco,1st-half-points-per-game,9.7
342,2009,21,Detroit,1st-half-points-per-game,8.9
343,2009,21,Chicago,1st-half-points-per-game,8.9
344,2009,21,Buffalo,1st-half-points-per-game,8.8
345,2009,21,Denver,1st-half-points-per-game,8.6
346,2009,21,Cleveland,1st-half-points-per-game,8.5
347,2009,21,Washington,1st-half-points-per-game,7.2
348,2009,21,Las Vegas,1st-half-points-per-game,7.1
349,2009,21,Kansas City,1st-half-points-per-game,7.0
350,2009,21,Tampa Bay,1st-half-points-per-game,6.7
351,2009,21,LA Rams,1st-half-points-per-game,5.6
352,2009,21,Minnesota,2nd-half-points-per-game,15.3
353,2009,21,New Orleans,2nd-half-points-per-game,15.0
354,2009,21,LA Chargers,2nd-half-points-per-game,14.0
355,2009,21,Green Bay,2nd-half-points-per-game,13.4
356,2009,21,Baltimore,2nd-half-points-per-game,13.3
357,2009,21,Miami,2nd-half-points-per-game,12.3
358,2009,21,Denver,2nd-half-points-per-game,11.6
359,2009,21,NY Giants,2nd-half-points-per-game,11.4
360,2009,21,Chicago,2nd-half-points-per-game,11.2
361,2009,21,Kansas City,2nd-half-points-per-game,11.2
362,2009,21,San Francisco,2nd-half-points-per-game,10.9
