season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt,percent
2024,Arizona,17.0,0.5265,10.3,0.4689,6.0,104.6,29.85,0.6859999999999999,0.3,2.0,2.0,19.7,0.0,0.0,0.6,0.7,1.0,0.0137,0.3,0.3,42.4,2.3,11.0,10.3,114.4,30.133333333333333,0.7534000000000001,0.0,1.0,1.0,20.0,0.5,1.0,163.7,44.6,2.7,24.3,0.5167,10.3,0.5,1.3,200.0,1.7,59.3,21.3,0.36,3.7,1.0,0.06,2.3,3.7,32.0,0.4,8.0,0.5393,0.5,1.3,0.3814,123.3,0.34380000000000005,3.7,2.7,NaN,10.9,323.3,8.2,5.4,3.9,0.0116,0.5257000000000001,1.7,201.3,4.7,2.3,37.7,58.3,0.469,0.109,2.7,0.0652,2.0,3.0,0.6667000000000001,27.7,7.7,0.4743,0.22219999999999998,0.7,144.0,0.10980000000000001,3.0,0.3,1.0,0.4545,5.0,3.0,0.0,1.0,10.2,7.4,5.9,5.2,0.333
2024,Atlanta,10.0,0.4226,6.3,0.39740000000000003,-4.0,89.7,24.6,0.6667000000000001,0.0,1.7,1.7,18.7,0.5,1.0,0.6,0.3,1.3,0.0217,0.7,1.0,41.4,1.7,9.7,10.7,88.9,35.4,0.7173999999999999,0.0,3.7,3.7,20.0,0.6,1.0,111.0,41.6,1.3,30.7,0.5167,10.3,0.75,1.0,176.3,0.3,68.7,20.3,0.296,2.7,0.5,0.04,1.3,3.7,37.0,0.4667,9.3,0.5388000000000001,0.25,0.3,0.46020000000000005,150.3,0.4545,6.7,1.3,1.0,8.0,326.7,5.8,4.8,4.1,0.035699999999999996,0.5427000000000001,1.3,199.7,4.7,2.3,39.3,54.7,0.299,0.003,3.0,0.0562,1.7,3.0,0.44439999999999996,25.0,6.3,0.4573,0.2,0.3,107.7,0.0316,1.0,0.0,0.7,0.22219999999999998,2.0,1.7,-0.7,0.0,10.7,7.5,5.6,4.3,0.333
2024,Baltimore,13.3,0.5733,10.3,0.5128,-2.3,95.7,32.583333333333336,0.6556000000000001,0.0,2.7,1.7,23.3,0.6667000000000001,0.7,0.25,0.3,0.7,0.0171,0.7,0.3,40.3,2.7,8.3,17.7,95.6,27.416666666666668,0.6667000000000001,0.0,2.7,2.7,21.7,0.0,0.0,131.3,39.4,2.7,39.0,0.7231000000000001,15.7,0.5,1.3,291.7,3.7,60.0,26.0,0.433,3.3,0.6,0.06,2.0,3.3,17.7,0.10769999999999999,2.3,0.2944,0.5,1.3,0.1463,50.0,0.4412,5.0,2.7,0.0,11.2,341.7,7.5,5.7,2.8,0.0111,0.4721,1.0,227.0,10.3,1.0,92.7,65.7,0.36,-0.073,3.3,0.0323,1.0,3.3,0.6,34.7,11.3,0.5279,0.625,1.7,203.3,0.0787,3.3,0.0,1.0,0.4118,4.7,2.7,0.3,NaN,11.5,7.8,6.6,5.9,0.333
2024,Buffalo,22.7,0.4378,14.7,0.5161,21.3,133.2,28.616666666666667,0.7534000000000001,0.3,2.0,1.7,20.3,1.0,1.7,0.75,0.3,0.3,0.0345,1.3,0.0,42.8,4.3,10.0,6.0,69.1,31.383333333333333,0.6207,0.0,1.3,1.3,19.0,0.35710000000000003,1.7,62.3,37.4,1.3,38.7,0.5614,10.7,0.6,1.0,168.3,1.0,67.7,16.0,0.236,1.7,0.6,0.02,1.3,4.0,25.3,0.386,7.3,0.37439999999999996,0.2,0.3,0.4128,118.3,0.39020000000000005,5.3,1.7,1.0,7.0,286.7,4.4,4.2,4.7,0.0,0.46009999999999995,2.3,209.0,5.3,2.0,39.0,54.3,0.687,0.451,2.0,0.026699999999999998,0.7,4.3,0.7692,29.3,8.0,0.5399,0.4286,2.0,120.0,0.0866,3.7,0.0,2.0,0.4138,4.0,4.7,1.7,NaN,11.4,8.7,6.1,4.1,1.0
2024,Carolina,8.0,0.43979999999999997,8.3,0.4833,-15.3,75.0,27.683333333333334,0.6064,0.0,1.7,1.7,14.0,0.3333,0.7,0.6667000000000001,0.3,1.3,0.023799999999999998,0.7,1.0,37.8,1.7,19.0,12.7,110.5,32.3,0.7143,0.0,2.3,2.0,21.0,0.3333,0.3,132.3,39.7,3.7,28.0,0.47619999999999996,10.0,0.6364,2.3,201.7,2.3,62.0,31.7,0.511,3.3,0.6,0.05,2.7,3.0,32.3,0.4127,8.7,0.5215,0.3636,1.3,0.42869999999999997,151.3,0.475,6.3,3.7,1.0,10.1,353.0,7.2,5.7,4.7,0.0319,0.5965,1.0,170.0,7.3,1.0,73.7,57.0,0.287,-0.224,5.3,0.0784,2.7,2.3,0.5714,23.0,4.7,0.4035,0.4,0.7,93.0,0.0562,1.7,0.0,1.3,0.2059,2.3,1.7,0.0,0.0,8.9,6.0,4.6,4.0,0.333
2024,Chicago,4.3,0.5043,13.3,0.5106,-1.3,65.3,30.433333333333334,0.5932,0.3,2.3,2.0,17.3,0.7778,2.3,0.6667000000000001,0.7,2.0,0.0455,1.3,1.3,40.1,1.0,13.3,5.7,66.2,29.55,0.5909,0.0,1.7,1.7,15.3,0.5,0.7,237.0,41.8,2.0,29.3,0.45649999999999996,7.0,0.3333,0.7,165.0,1.0,58.7,19.0,0.324,5.7,1.5,0.1,1.3,2.3,27.0,0.4783,7.3,0.46020000000000005,0.6667000000000001,1.3,0.4244,121.7,0.25,3.3,2.0,NaN,9.5,286.7,5.6,4.9,4.5,0.0339,0.6453,0.7,176.7,6.7,3.0,46.7,67.7,0.261,-0.063,5.0,0.0992,4.3,1.7,0.6,24.0,4.3,0.3547,0.2,0.3,72.7,0.0737,2.3,0.3,2.0,0.3333,5.7,1.7,0.0,0.5,7.6,5.3,3.7,3.0,0.333
2024,Cincinnati,9.7,0.5094,13.0,0.4276,-4.0,107.5,28.1,0.7087,0.0,2.7,2.3,20.3,0.75,1.0,0.44439999999999996,1.0,1.0,0.0278,0.7,0.0,48.8,2.3,13.7,13.0,102.0,31.883333333333333,0.75,0.3,2.0,2.0,19.3,1.0,1.7,110.3,47.3,2.7,24.0,0.4483,8.7,0.44439999999999996,1.3,168.3,1.3,60.0,26.7,0.444,2.3,0.5,0.04,1.7,3.0,34.3,0.4828,9.3,0.5722,0.44439999999999996,1.3,0.4582,142.3,0.375,4.0,3.0,0.0,9.4,310.7,7.0,5.2,4.1,0.0,0.6568,1.7,237.3,5.0,1.0,35.0,56.3,0.402,-0.042,2.0,0.0721,2.7,3.3,0.5,19.3,7.3,0.3432,0.2857,0.7,89.3,0.0649,1.7,0.0,1.0,0.4118,4.7,2.3,0.0,0.0,9.8,7.2,5.8,4.6,0.0
2024,Cleveland,7.7,0.4561,9.0,0.5589,-5.7,71.4,30.45,0.5776,0.0,1.7,1.3,16.0,0.6364,2.3,0.44439999999999996,0.7,1.3,0.0,0.0,0.7,41.0,1.7,14.7,7.7,88.6,29.55,0.5876,0.0,2.7,2.0,18.0,1.0,0.3,212.0,39.8,2.0,32.3,0.5556,10.0,0.4286,1.0,195.7,1.0,61.3,22.3,0.364,5.3,1.2,0.09,1.7,3.0,26.0,0.3889,7.0,0.4239,0.4286,1.0,0.3675,113.7,0.2973,3.7,2.3,NaN,10.3,309.3,6.1,5.0,4.4,0.0172,0.6667000000000001,1.0,152.3,9.7,2.3,70.7,66.0,0.253,-0.112,6.0,0.12119999999999999,5.3,1.3,1.0,22.0,6.3,0.3333,0.4,0.7,95.7,0.0849,3.0,0.0,0.7,0.18600000000000003,2.7,1.7,-0.7,1.0,6.8,4.8,3.8,4.3,0.333
2024,Dallas,14.0,0.5709000000000001,11.7,0.36060000000000003,-4.0,84.7,27.933333333333334,0.6,0.0,3.3,3.3,20.3,0.25,0.3,0.6,0.3,1.0,0.0395,1.0,0.7,41.4,2.0,19.7,10.0,87.3,32.05,0.6184000000000001,0.0,1.0,0.7,21.0,0.6,1.0,160.3,40.1,4.0,25.3,0.381,8.0,0.3333,1.3,187.0,1.0,62.0,29.7,0.478,4.0,0.9,0.06,3.0,3.3,34.3,0.5714,12.0,0.5538000000000001,0.6667000000000001,2.7,0.4982,185.7,0.34380000000000005,3.7,4.0,NaN,11.9,372.7,7.4,6.0,5.4,0.016,0.6837000000000001,1.3,269.7,7.0,2.7,51.7,65.3,0.393,-0.086,3.7,0.0672,3.0,2.7,0.5,20.7,4.7,0.31629999999999997,0.2857,0.7,73.7,0.0843,2.3,0.3,1.0,0.425,5.7,2.3,0.0,0.0,10.8,6.9,5.3,3.6,0.333
2024,Denver,11.0,0.5281,6.3,0.48350000000000004,2.0,61.8,30.35,0.6283,0.0,3.0,3.0,14.7,0.6667000000000001,1.3,0.5,0.7,2.0,0.0256,0.7,1.3,47.1,1.0,8.7,6.7,88.1,29.65,0.7179000000000001,0.0,1.3,1.3,17.3,0.0,0.0,233.3,41.2,1.7,26.0,0.5577000000000001,9.7,0.6,1.0,133.3,3.3,58.0,15.3,0.264,5.7,1.9,0.1,0.7,1.7,28.3,0.25,4.3,0.4885,0.4,0.7,0.48590000000000005,126.0,0.3056,3.7,1.7,0.0,7.1,259.3,5.1,4.5,4.4,0.0354,0.619,0.0,193.0,7.3,0.0,78.3,63.0,0.275,0.011,5.3,0.0342,1.3,3.7,0.2727,24.0,7.3,0.381,1.0,1.0,99.7,0.12359999999999999,3.7,0.0,1.3,0.25579999999999997,3.7,1.0,-0.7,NaN,8.2,5.3,4.6,4.2,0.333
