season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt,percent
2024,Detroit,10.0,0.48219999999999996,10.0,0.4407,6.0,85.0,25.066666666666666,0.6429,0.0,2.0,2.0,21.0,1.0,1.0,NaN,0.0,1.0,0.0204,1.0,1.0,47.5,3.0,3.0,17.0,85.2,34.93333333333333,0.6939,0.0,2.0,2.0,26.0,0.5,1.0,123.0,41.0,2.0,49.0,0.5769,15.0,0.5,1.0,304.0,3.0,74.0,20.0,0.27,3.0,0.8,0.04,2.0,5.0,23.0,0.3077,8.0,0.31079999999999997,0.5,1.0,0.2145,83.0,0.4167,5.0,2.0,NaN,8.9,387.0,6.2,5.2,3.6,0.035699999999999996,0.4918,1.0,200.0,6.0,2.0,56.0,61.0,0.426,0.156,4.0,0.0667,2.0,4.0,0.5,31.0,12.0,0.5082,0.6667000000000001,2.0,163.0,0.0392,2.0,0.0,1.0,0.46149999999999997,6.0,3.0,0.0,NaN,11.1,7.8,6.0,5.3,1.0
2024,Green Bay,19.0,0.4167,10.0,0.49060000000000004,-5.0,80.7,27.216666666666665,0.4857,0.0,4.0,3.0,19.0,1.0,1.0,0.6667000000000001,0.0,1.0,0.0588,2.0,1.0,37.0,3.0,17.0,17.0,80.3,32.78333333333333,0.5882000000000001,0.0,2.0,2.0,25.0,1.0,1.0,101.0,50.5,4.0,34.0,0.56,14.0,0.5,2.0,266.0,3.0,74.0,34.0,0.459,2.0,0.3,0.03,3.0,6.0,38.0,0.32,8.0,0.5135000000000001,0.5,2.0,0.35119999999999996,144.0,0.2857,4.0,4.0,NaN,13.3,410.0,7.8,5.5,3.8,0.0286,0.6379,2.0,251.0,10.0,3.0,71.0,58.0,0.5,0.041,2.0,0.0541,2.0,4.0,0.25,21.0,7.0,0.36210000000000003,0.3333,1.0,163.0,0.0556,2.0,0.0,3.0,0.2727,3.0,3.0,2.0,0.0,14.8,7.4,7.1,7.8,0.0
2024,Houston,12.0,0.5333,17.0,0.8,2.0,115.9,40.0,0.75,0.0,3.0,3.0,26.0,1.0,2.0,NaN,0.0,0.0,0.0526,1.0,0.0,28.0,3.0,7.0,20.0,101.2,20.0,0.47369999999999995,0.0,0.0,0.0,14.0,0.5,1.0,152.0,50.7,4.0,19.0,0.2857,4.0,0.5,2.0,199.0,1.0,43.0,27.0,0.628,3.0,0.8,0.07,2.0,3.0,22.0,0.6429,9.0,0.5115999999999999,0.5,2.0,0.3432,104.0,0.5,5.0,4.0,0.0,22.1,303.0,10.5,7.0,4.7,0.0,0.47369999999999995,2.0,204.0,5.0,2.0,30.0,76.0,0.382,-0.246,2.0,0.11109999999999999,4.0,3.0,1.0,40.0,11.0,0.5263,0.3333,1.0,213.0,0.09519999999999999,2.0,0.0,1.0,0.5,7.0,3.0,1.0,0.0,8.5,7.3,5.5,5.3,1.0
2024,Indianapolis,7.0,0.4667,20.0,0.2,-2.0,101.2,20.0,0.47369999999999995,0.0,0.0,0.0,14.0,0.5,1.0,NaN,0.0,1.0,0.0,0.0,1.0,50.7,4.0,12.0,17.0,115.9,40.0,0.75,0.0,3.0,3.0,26.0,1.0,2.0,56.0,28.0,3.0,32.0,0.5,13.0,0.6667000000000001,2.0,204.0,2.0,76.0,29.0,0.382,2.0,0.3,0.03,3.0,3.0,40.0,0.42310000000000003,11.0,0.5263,0.3333,1.0,0.5108,213.0,0.5,7.0,3.0,0.0,8.5,417.0,6.4,5.5,5.3,0.0526,0.48840000000000006,2.0,199.0,4.0,1.0,20.0,43.0,0.628,0.246,3.0,0.09519999999999999,2.0,3.0,0.6667000000000001,22.0,9.0,0.5115999999999999,0.5,2.0,104.0,0.11109999999999999,4.0,0.0,0.0,0.5,5.0,4.0,-1.0,0.0,22.1,11.2,7.0,4.7,0.0
2024,Jacksonville,17.0,0.4622,0.0,0.4322,-3.0,97.7,26.833333333333332,0.5714,0.0,1.0,1.0,17.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,49.7,2.0,7.0,13.0,101.0,33.166666666666664,0.6215999999999999,0.0,3.0,2.0,18.0,0.0,0.0,195.0,48.8,2.0,37.0,0.6111,11.0,0.5,1.0,319.0,2.0,65.0,20.0,0.308,4.0,1.0,0.06,1.0,2.0,25.0,0.2778,5.0,0.3846,0.5,1.0,0.2025,81.0,0.5,8.0,2.0,NaN,13.9,400.0,8.6,6.2,3.2,0.0,0.48,1.0,139.0,8.0,2.0,71.0,50.0,0.34,0.032,6.0,0.125,3.0,3.0,0.6667000000000001,26.0,7.0,0.52,0.5,1.0,128.0,0.075,3.0,0.0,0.0,0.2,2.0,2.0,-1.0,NaN,11.6,7.7,5.3,4.9,0.0
2024,Kansas City,13.0,0.35109999999999997,14.0,0.525,7.0,101.9,26.283333333333335,0.7143,0.0,2.0,2.0,21.0,NaN,0.0,1.0,0.0,1.0,0.0,0.0,1.0,33.7,3.0,10.0,10.0,90.8,33.71666666666667,0.6341,0.0,3.0,2.0,25.0,0.5,1.0,75.0,37.5,2.0,41.0,0.44,11.0,0.5,1.0,267.0,1.0,74.0,20.0,0.27,2.0,0.5,0.03,1.0,4.0,32.0,0.52,13.0,0.4324,0.5,1.0,0.4093,185.0,0.5,7.0,2.0,NaN,10.3,452.0,6.5,6.1,5.8,0.035699999999999996,0.6,1.0,281.0,6.0,2.0,45.0,50.0,0.54,0.27,3.0,0.0667,2.0,3.0,0.3333,20.0,4.0,0.4,0.6667000000000001,2.0,72.0,0.023799999999999998,1.0,0.0,1.0,0.44439999999999996,4.0,3.0,0.0,NaN,14.1,10.4,7.1,3.6,1.0
2024,LA Chargers,6.0,0.4878,16.0,0.45439999999999997,12.0,92.5,28.266666666666666,0.6537999999999999,0.0,3.0,3.0,11.0,NaN,0.0,1.0,0.0,0.0,0.030299999999999997,1.0,0.0,37.7,2.0,7.0,3.0,95.1,31.733333333333334,0.7576,0.0,2.0,1.0,14.0,0.0,0.0,236.0,47.2,1.0,33.0,0.8571,12.0,1.0,1.0,225.0,1.0,59.0,10.0,0.169,5.0,2.5,0.08,0.0,1.0,22.0,0.07139999999999999,1.0,0.3729,0.0,0.0,0.23989999999999997,71.0,0.35710000000000003,5.0,1.0,NaN,9.0,296.0,6.8,5.0,3.2,0.0,0.5,1.0,140.0,7.0,0.0,50.0,54.0,0.407,0.238,7.0,0.037000000000000005,1.0,4.0,0.5,27.0,5.0,0.5,0.5,1.0,176.0,0.1081,4.0,0.0,3.0,0.2667,4.0,2.0,3.0,0.0,8.2,5.5,5.9,6.5,1.0
2024,LA Rams,3.0,0.5178,17.0,0.5593,-6.0,85.2,34.93333333333333,0.6939,0.0,2.0,2.0,26.0,0.5,1.0,NaN,0.0,1.0,0.035699999999999996,1.0,1.0,41.0,2.0,10.0,10.0,85.0,25.066666666666666,0.6429,0.0,2.0,2.0,21.0,1.0,1.0,190.0,47.5,3.0,28.0,0.3333,7.0,0.3333,1.0,200.0,2.0,61.0,26.0,0.426,4.0,0.8,0.07,2.0,4.0,31.0,0.5714,12.0,0.5082,0.6667000000000001,2.0,0.449,163.0,0.46149999999999997,6.0,3.0,NaN,11.1,363.0,7.1,6.0,5.3,0.0204,0.6892,1.0,304.0,6.0,3.0,50.0,74.0,0.27,-0.156,3.0,0.0392,2.0,5.0,0.4,23.0,8.0,0.31079999999999997,0.5,1.0,83.0,0.0667,2.0,0.0,1.0,0.4167,5.0,2.0,0.0,NaN,8.9,6.5,5.2,3.6,0.0
2024,Las Vegas,7.0,0.5122,3.0,0.5456,-12.0,95.1,31.733333333333334,0.7576,0.0,2.0,1.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,47.2,1.0,6.0,16.0,92.5,28.266666666666666,0.6537999999999999,0.0,3.0,3.0,11.0,NaN,0.0,264.0,37.7,2.0,26.0,0.5455,6.0,0.5,1.0,140.0,0.0,54.0,22.0,0.407,7.0,1.4,0.13,2.0,4.0,27.0,0.4545,5.0,0.5,0.5,1.0,0.557,176.0,0.2667,4.0,2.0,0.0,8.2,316.0,5.4,5.9,6.5,0.030299999999999997,0.6271,1.0,225.0,2.0,1.0,15.0,59.0,0.169,-0.238,5.0,0.1081,4.0,1.0,0.0,22.0,1.0,0.3729,0.0,0.0,71.0,0.037000000000000005,1.0,0.0,0.0,0.35710000000000003,5.0,1.0,-3.0,NaN,9.0,7.8,5.0,3.2,0.0
2024,Miami,7.0,0.5378000000000001,13.0,0.5678,3.0,101.0,33.166666666666664,0.6215999999999999,0.0,3.0,2.0,18.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,48.8,2.0,17.0,0.0,97.7,26.833333333333332,0.5714,0.0,1.0,1.0,17.0,0.0,0.0,298.0,49.7,2.0,21.0,0.4706,8.0,0.5,1.0,139.0,2.0,50.0,17.0,0.34,6.0,2.0,0.12,2.0,3.0,26.0,0.4118,7.0,0.52,0.5,1.0,0.4794,128.0,0.2,2.0,2.0,NaN,11.6,267.0,6.6,5.3,4.9,0.0,0.6154,1.0,319.0,9.0,2.0,103.0,65.0,0.308,-0.032,4.0,0.075,3.0,2.0,0.5,25.0,5.0,0.3846,0.5,1.0,81.0,0.125,3.0,0.0,1.0,0.5,8.0,2.0,1.0,NaN,13.9,9.1,6.2,3.2,1.0
