,predicted,actual
207,0.3662,0.375
208,0.9777,0.938
209,0.4788,0.469
210,0.7727,0.75
211,0.2724,0.25
212,0.6236,0.625
213,0.43,0.438
214,0.366,0.375
215,0.6361,0.625
216,0.5813,0.588
217,0.2271,0.219
218,0.8098,0.813
219,0.3835,0.375
220,0.3755,0.375
221,0.3188,0.313
222,0.5003,0.5
223,0.3299,0.313
224,0.3169,0.313
225,0.1907,0.188
226,0.6654,0.647
227,0.567,0.563
228,0.6345,0.625
229,0.567,0.563
230,0.3337,0.25
231,0.2455,0.25
232,0.6242,0.625
233,0.4406,0.438
234,0.6426,0.625
235,0.6394,0.625
236,0.3789,0.375
237,0.6303,0.625
238,0.702,0.706
239,0.51,0.5
240,0.6383,0.625
241,0.7447,0.75
242,0.749,0.75
243,0.4657,0.471
244,0.5063,0.5
245,0.4391,0.438
246,0.5391,0.529
247,0.8834,0.875
248,0.4372,0.438
249,0.5017,0.5
250,0.8087,0.813
251,0.5326,0.529
252,0.5672,0.563
253,0.4452,0.438
254,0.3755,0.375
255,0.3641,0.375
256,0.7442,0.75
257,0.3835,0.375
258,0.7018,0.688
259,0.1341,0.125
260,0.4396,0.438
261,0.4816,0.5
262,0.3823,0.375
263,0.4963,0.5
264,0.8129,0.813
265,0.2577,0.25
266,0.5263,0.5
267,0.3088,0.313
268,0.6952,0.688
269,0.5558,0.559
270,0.4072,0.412
271,0.5651,0.563
272,0.2435,0.25
273,0.3766,0.375
274,0.4964,0.5
275,0.4732,0.469
276,0.821,0.813
277,0.5091,0.5
278,0.755,0.75
279,0.6989,0.688
280,0.7115,0.688
281,0.2598,0.25
282,0.6303,0.625
283,0.4097,0.412
284,0.4732,0.469
285,0.5286,0.529
286,0.6217,0.625
287,0.3145,0.313
288,0.702,0.706
289,0.6908,0.688
290,0.7654,0.765
291,0.8153,0.824
292,0.5765,0.563
293,0.5133,0.5
294,0.368,0.375
295,0.0697,0.063
296,0.3738,0.375
297,0.6431,0.625
298,0.5122,0.5
299,0.2577,0.25
300,0.3728,0.375
301,0.6426,0.625
302,0.6839,0.688
303,0.6839,0.688
304,0.8242,0.813
305,0.6915,0.688
306,0.62,0.625
