season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt,percent
2024,Detroit,14.3,0.5422,10.3,0.4918,5.5,98.6,30.416666666666668,0.7143,0.0,1.3,1.3,22.8,0.5714,1.0,0.3333,0.0,1.0,0.0253,1.0,1.0,44.5,3.3,8.3,12.3,84.5,29.566666666666663,0.6646,0.0,1.8,1.5,23.8,0.3333,0.5,162.0,40.5,2.3,39.5,0.5895,14.0,0.4443999999999999,1.0,258.3,4.0,63.0,20.5,0.325,4.0,1.1,0.06,1.8,3.0,20.8,0.2421,5.8,0.3293999999999999,0.5556,1.3,0.26,90.8,0.3171,3.3,2.3,0.0,9.8,349.0,6.5,5.5,4.4,0.0317,0.5075999999999999,1.5,245.8,7.8,1.5,76.8,65.5,0.397,0.072,3.5,0.0526,1.8,4.5,0.5556,32.3,9.8,0.4924,0.5385,1.8,151.3,0.0650999999999999,2.8,0.0,1.3,0.4583,5.5,3.3,0.3,0,10.9,8.2,6.1,4.7,0.75
2024,Green Bay,14.0,0.586,12.0,0.4775,3.8,94.1,31.9,0.6065999999999999,0.3,3.3,2.3,19.5,0.3333,0.3,0.5,0.5,1.5,0.0615,2.0,1.0,43.3,2.5,13.0,9.3,82.8,28.08333333333333,0.6385000000000001,0.0,1.3,1.0,21.0,0.4,0.5,154.5,44.1,2.8,32.5,0.5832999999999999,12.3,0.7273000000000001,2.0,230.5,2.0,61.0,22.3,0.365,3.5,0.9,0.06,2.3,3.8,25.3,0.3214,6.8,0.4139,0.2727,0.8,0.3215999999999999,109.3,0.3023,3.3,2.8,0,11.1,339.8,7.1,5.6,4.3,0.0327999999999999,0.4961,2.0,235.5,8.5,1.5,66.0,64.5,0.403,0.038,3.3,0.0469,1.5,3.8,0.4667,32.5,8.0,0.5039,0.1818,0.5,174.5,0.0909,3.3,0.0,3.0,0.4074,5.5,2.8,1.5,0.5,12.7,8.0,6.4,5.4,0.5
2024,Houston,11.3,0.5721,8.5,0.5343,-3.8,97.1,33.18333333333333,0.6711,0.0,2.3,2.0,21.0,0.7143,1.3,0.0,0.5,1.0,0.0256,0.8,0.5,40.6,2.0,11.0,12.5,88.1,26.8,0.5727,0.0,1.5,1.5,16.3,0.5,0.8,211.8,47.1,2.8,29.3,0.5231,8.5,0.7273000000000001,2.0,161.0,2.3,56.8,23.5,0.414,4.5,1.1,0.08,2.3,3.0,24.0,0.3385,5.5,0.4229,0.2727,0.8,0.4119,112.8,0.4038,5.3,2.8,0.0,9.6,273.8,5.5,4.8,4.7,0.0132,0.6194,1.5,257.8,10.0,1.3,81.5,67.0,0.295,-0.119,4.5,0.0843,3.5,2.8,0.7273000000000001,25.5,4.8,0.3806,0.25,0.5,106.8,0.1069,3.5,0.0,0.8,0.4,5.5,2.0,-0.3,0.0,10.1,7.5,5.4,4.2,0.75
2024,Indianapolis,7.8,0.3899,13.5,0.3908,0.0,71.7,23.416666666666668,0.534,0.0,1.3,0.8,17.5,0.4,0.5,0.8,0.0,1.5,0.0152,0.5,1.5,44.9,2.8,6.3,15.0,100.9,36.56666666666667,0.6894,0.0,2.5,2.0,23.5,0.6667000000000001,1.5,100.3,36.5,2.3,33.0,0.5106,12.0,0.6667000000000001,1.5,235.0,2.0,73.8,21.3,0.288,2.8,0.6,0.04,2.3,3.3,37.8,0.4043,9.5,0.5119,0.3333,0.8,0.4121,164.8,0.4922999999999999,8.0,2.3,0.0,10.3,399.8,7.1,5.4,4.4,0.0583,0.5093,1.3,194.5,5.0,1.5,39.0,53.5,0.397,0.109,3.8,0.055,1.5,3.3,0.6154,26.3,8.3,0.4907,0.5455,1.5,131.8,0.0833,3.0,0.0,1.5,0.3913,4.5,2.8,0.0,0.0,14.1,8.0,6.1,5.0,0.5
2024,Jacksonville,9.0,0.3901,6.0,0.5057,-12.3,78.1,26.866666666666667,0.5385,0.0,1.8,1.5,17.8,0.4,1.0,0.5714,0.5,0.8,0.0,0.0,0.3,45.7,1.5,17.8,9.5,108.2,33.11666666666667,0.6761,0.0,2.3,2.0,21.5,0.7143,1.3,173.8,43.4,3.0,35.5,0.6163000000000001,13.3,0.5832999999999999,1.8,272.8,2.0,64.5,27.3,0.422,4.0,0.8,0.06,2.3,3.0,27.3,0.2907,6.3,0.4225,0.4167,1.3,0.2822,107.3,0.4259,5.8,3.0,0,11.4,380.0,7.7,5.9,3.9,0.0077,0.619,1.0,159.3,6.8,1.8,53.3,57.8,0.26,-0.163,4.0,0.0909,3.3,3.5,0.4286,22.0,6.5,0.381,0.3333,0.5,126.3,0.047,1.8,0.0,0.3,0.25,2.8,1.5,-0.5,0,9.1,5.8,4.9,5.7,0.0
2024,Kansas City,10.8,0.4901,12.3,0.5006,5.0,89.7,29.716666666666665,0.6859999999999999,0.3,2.3,2.0,19.5,1.0,0.8,0.2,0.5,1.8,0.0075,0.3,1.3,44.8,2.3,12.5,5.5,94.2,30.266666666666666,0.6391,0.0,2.5,2.0,18.5,0.5,1.0,148.3,45.6,1.8,33.3,0.5676,10.5,0.7143,1.3,227.8,1.5,61.0,18.0,0.295,3.3,0.9,0.05,1.5,3.5,25.8,0.3514,6.5,0.4221,0.2857,0.5,0.303,99.0,0.3469,4.3,1.8,0,10.7,326.8,6.8,5.4,3.8,0.0412999999999999,0.5356000000000001,1.5,215.8,5.3,1.8,47.5,59.8,0.385,0.09,3.0,0.0547,1.8,2.8,0.4545,27.8,7.0,0.4644,0.3,0.8,112.5,0.0567,2.0,0.0,0.8,0.4255,5.0,2.5,-1.0,0.0,10.4,7.5,5.5,4.1,1.0
2024,LA Chargers,11.5,0.5461,5.5,0.4671,4.5,97.2,30.383333333333333,0.6559,0.0,2.0,1.8,13.5,0.0,0.0,0.875,0.3,0.5,0.0333,1.0,0.3,43.2,1.8,5.3,7.3,85.8,29.6,0.725,0.0,2.0,1.3,14.3,0.25,0.3,220.8,46.5,1.3,30.0,0.5614,8.0,0.6,0.8,188.5,1.8,57.0,12.5,0.219,4.8,1.9,0.08,0.5,1.8,24.3,0.3157999999999999,4.5,0.4254,0.4,0.5,0.3327,94.0,0.3928999999999999,5.5,1.3,0,8.7,282.5,6.3,5.0,3.9,0.0108,0.47,1.3,136.5,6.5,0.8,46.3,54.3,0.313,0.094,5.8,0.0882,2.3,2.3,0.4443999999999999,28.8,5.3,0.53,0.2857,0.5,127.8,0.084,2.8,0.0,1.8,0.3636,5.0,1.8,1.3,0.0,9.0,6.5,4.9,4.4,0.5
2024,LA Rams,4.8,0.496,14.0,0.4499,-10.0,88.5,28.9,0.6794,0.0,2.5,2.3,20.0,0.5714,1.0,0.2857,0.5,1.0,0.0098,0.3,0.5,43.4,1.8,14.5,12.8,122.7,31.08333333333333,0.7254999999999999,0.3,1.8,1.5,21.8,1.0,0.5,132.5,44.2,3.3,25.5,0.4138,9.0,0.5714,2.0,219.8,2.5,60.5,28.8,0.475,3.0,0.6,0.05,2.3,3.8,33.3,0.4713,10.3,0.5496,0.3571,1.3,0.4296,165.5,0.5,5.5,3.5,0,11.9,385.3,8.6,6.4,5.0,0.0153,0.6025,0.5,224.3,5.5,2.3,44.8,59.8,0.314,-0.161,2.8,0.0902999999999999,3.3,4.3,0.4118,23.8,7.0,0.3975,0.7143,1.3,88.3,0.0642,1.8,0.0,0.8,0.3696,4.3,1.8,-0.3,0.0,10.1,7.5,5.2,3.7,0.25
2024,Las Vegas,7.5,0.4671,12.0,0.4972,-4.8,91.6,28.916666666666668,0.7111,0.0,2.3,1.8,17.3,0.2,0.3,0.2,0.8,1.5,0.0155,0.5,0.8,45.8,2.0,11.5,12.8,96.6,31.066666666666663,0.6822,0.3,2.8,2.5,18.0,0.5,0.3,212.5,42.5,2.3,32.3,0.6111,11.0,0.6,1.5,206.8,1.0,61.0,24.3,0.398,5.0,1.0,0.08,2.0,3.5,26.8,0.3333,6.0,0.4385,0.3,0.8,0.3994,137.5,0.3125,3.8,2.5,0.0,9.4,344.3,6.4,5.6,5.1,0.0222,0.6395000000000001,1.0,212.5,4.3,2.0,33.3,58.3,0.335,-0.063,4.3,0.094,3.5,2.5,0.7,21.0,3.3,0.3605,0.5,1.0,76.3,0.0584,2.0,0.0,0.5,0.3265,4.0,2.0,-1.0,1.0,8.9,7.1,5.0,3.6,0.5
2024,Miami,5.8,0.4949,5.5,0.5314,-14.5,77.2,30.78333333333333,0.6308,0.0,2.0,1.5,16.0,0.1538,0.5,0.5,0.3,1.0,0.0316,0.8,0.8,42.4,1.0,16.8,9.0,85.4,29.2,0.6631999999999999,0.3,2.5,2.0,16.8,0.6667000000000001,0.5,180.0,40.0,2.5,23.8,0.4627,7.8,0.2727,0.8,162.5,1.8,54.3,25.8,0.475,4.5,0.9,0.08,2.0,2.5,28.8,0.4328,7.3,0.53,0.6364,1.8,0.4238,119.5,0.2380999999999999,2.5,2.8,0,10.3,282.0,6.8,5.2,4.2,0.0231,0.5720000000000001,0.5,187.3,9.3,2.0,84.0,62.5,0.18,-0.295,4.0,0.0909,3.3,2.3,0.3333,26.8,5.3,0.428,0.5,0.5,97.8,0.0686,1.8,0.0,1.0,0.3273,4.5,1.0,0.0,0.0,9.1,6.5,4.6,3.7,0.25
