season,team,1st-half-points-per-game,1st-half-time-of-possession-share-pct,2nd-half-points-per-game,2nd-half-time-of-possession-share-pct,average-scoring-margin,average-team-passer-rating,average-time-of-possession-net-of-ot,completion-pct,defensive-touchdowns-per-game,field-goal-attempts-per-game,field-goals-made-per-game,first-downs-per-game,fourth-down-conversion-pct,fourth-down-conversions-per-game,fumble-recovery-pct,fumbles-lost-per-game,giveaways-per-game,interception-pct,interceptions-per-game,interceptions-thrown-per-game,net-yards-per-punt-attempt,offensive-touchdowns-per-game,opponent-1st-half-points-per-game,opponent-2nd-half-points-per-game,opponent-average-team-passer-rating,opponent-average-time-of-possession-net-of-ot,opponent-completion-pct,opponent-defensive-touchdowns-per-game,opponent-field-goal-attempts-per-game,opponent-field-goals-made-per-game,opponent-first-downs-per-game,opponent-fourth-down-conversion-pct,opponent-fourth-down-conversions-per-game,opponent-net-punt-yards-per-game,opponent-net-yards-per-punt-attempt,opponent-offensive-touchdowns-per-game,opponent-pass-attempts-per-game,opponent-passing-first-down-pct,opponent-passing-first-downs-per-game,opponent-passing-touchdown-pct,opponent-passing-touchdowns-per-game,opponent-passing-yards-per-game,opponent-penalty-first-downs-per-game,opponent-plays-per-game,opponent-points-per-game,opponent-points-per-play,opponent-punt-attempts-per-game,opponent-punts-per-offensive-score,opponent-punts-per-play,opponent-red-zone-scores-per-game,opponent-red-zone-scoring-attempts-per-game,opponent-rushing-attempts-per-game,opponent-rushing-first-down-pct,opponent-rushing-first-downs-per-game,opponent-rushing-play-pct,opponent-rushing-touchdown-pct,opponent-rushing-touchdowns-per-game,opponent-rushing-yards-pct,opponent-rushing-yards-per-game,opponent-third-down-conversion-pct,opponent-third-down-conversions-per-game,opponent-touchdowns-per-game,opponent-two-point-conversion-pct,opponent-yards-per-completion,opponent-yards-per-game,opponent-yards-per-pass-attempt,opponent-yards-per-play,opponent-yards-per-rush-attempt,pass-intercepted-pct,passing-play-pct,passing-touchdowns-per-game,passing-yards-per-game,penalties-per-game,penalty-first-downs-per-game,penalty-yards-per-game,plays-per-game,points-per-play,points-per-play-margin,punt-attempts-per-game,qb-sacked-pct,qb-sacked-per-game,red-zone-scoring-attempts-per-game,red-zone-scoring-pct,rushing-attempts-per-game,rushing-first-downs-per-game,rushing-play-pct,rushing-touchdown-pct,rushing-touchdowns-per-game,rushing-yards-per-game,sack-pct,sacks-per-game,special-teams-touchdowns-per-game,takeaways-per-game,third-down-conversion-pct,third-down-conversions-per-game,touchdowns-per-game,turnover-margin-per-game,two-point-conversion-pct,yards-per-completion,yards-per-pass-attempt,yards-per-play,yards-per-rush-attempt
2003,Detroit,7.5,47.90%,9.4,46.63%,-6.8,61.1,28:21,54.25%,0.3,1.4,1.4,15.6,40.00%,0.5,52.94%,0.3,1.8,2.87%,0.9,1.5,33.8,1.4,15.6,8.1,89.6,31:38,63.41%,0.3,1.5,1.1,18.6,61.54%,0.5,178.6,34.0,2.5,32.6,55.70%,10.4,55.32%,1.6,223.9,1.7,62.3,23.7,0.38,5.3,1.3,0.08,1.9,2.7,27.9,35.23%,6.6,44.83%,29.79%,0.9,33.22%,111.4,40.65%,5.4,2.9,--,10.8,335.3,6.9,5.4,4.0,4.08%,61.64%,1.1,182.0,6.7,1.8,53.7,60.9,0.277,-0.103,6.0,2.16%,0.8,2.4,47.37%,23.4,4.3,38.36%,17.24%,0.3,84.4,5.09%,1.8,0.2,1.8,35.09%,5.0,1.8,0.0,100.00%,9.1,5.1,4.4,3.6
2003,Green Bay,14.9,53.82%,12.1,49.29%,7.7,90.8,31:16,65.00%,0.2,1.7,1.4,19.6,60.00%,0.3,46.67%,0.6,1.8,3.27%,1.2,1.2,34.1,3.1,9.1,10.1,70.1,28:43,55.27%,0.1,2.1,1.9,18.3,35.00%,0.4,186.7,35.0,1.8,37.4,61.09%,11.2,55.56%,1.1,215.8,1.5,65.3,19.7,0.301,5.3,1.4,0.08,1.3,3.1,25.4,30.70%,5.6,38.95%,36.11%,0.7,33.08%,106.7,36.40%,5.3,2.0,100.00%,10.4,322.4,5.8,4.9,4.2,4.07%,49.30%,1.9,207.1,5.5,1.2,43.0,63.1,0.433,0.132,4.6,3.57%,1.1,3.3,62.71%,32.0,8.0,50.70%,33.90%,1.1,158.1,6.27%,2.5,0.0,1.9,41.08%,5.5,3.3,0.1,100.00%,10.6,7.2,5.8,4.9
2003,Houston,6.9,46.06%,9.1,46.09%,-7.8,69.7,27:37,56.49%,0.1,1.4,1.1,14.8,64.29%,0.6,47.22%,0.6,1.7,2.79%,0.9,1.1,36.7,1.8,11.2,12.4,86.2,32:22,59.16%,0.3,2.2,1.8,21.0,71.43%,0.6,167.8,35.8,2.3,31.4,53.27%,11.2,52.38%,1.4,232.0,1.7,65.9,23.8,0.361,4.7,1.1,0.07,1.4,3.3,33.3,38.69%,8.1,50.57%,35.71%,0.9,38.93%,147.9,40.09%,5.6,2.6,0.00%,12.5,379.9,7.4,5.8,4.4,4.10%,53.01%,0.9,165.9,7.6,1.5,60.1,56.0,0.285,-0.076,6.1,7.58%,2.3,2.1,61.76%,26.3,5.4,46.99%,48.28%,0.9,103.2,3.65%,1.2,0.0,1.4,30.88%,3.9,1.8,-0.3,0.00%,10.7,6.5,4.8,3.9
2003,Indianapolis,13.1,48.75%,15.2,52.96%,7.3,100.0,30:37,66.77%,0.2,2.1,2.1,22.1,56.00%,0.7,56.25%,0.6,1.4,3.32%,0.9,0.7,35.5,3.0,10.1,10.8,81.6,29:22,62.73%,0.1,1.6,1.2,18.1,72.22%,0.7,153.3,37.3,2.2,28.5,51.02%,9.2,44.68%,1.1,180.7,1.4,57.9,21.1,0.365,4.1,1.1,0.07,1.7,2.8,27.6,41.40%,7.5,47.73%,44.68%,1.1,41.48%,128.1,38.22%,4.5,2.5,66.67%,10.1,308.8,6.3,5.3,4.6,2.07%,56.93%,2.0,266.8,5.4,1.7,38.2,64.9,0.438,0.073,3.4,3.56%,1.3,3.8,54.17%,27.9,6.7,43.07%,31.67%,1.0,106.4,5.74%,1.7,0.0,1.9,44.00%,5.8,3.2,0.5,50.00%,11.2,7.7,5.8,3.8
2003,Jacksonville,7.9,53.05%,9.3,47.46%,-3.4,75.1,30:09,58.72%,0.1,2.1,1.3,19.1,50.00%,0.8,48.08%,0.8,1.9,2.94%,0.9,1.1,33.5,1.9,10.4,10.3,82.0,29:50,59.41%,0.1,1.7,1.5,17.3,50.00%,0.4,160.1,34.1,2.2,31.9,62.32%,10.8,62.16%,1.4,203.2,1.3,61.0,20.7,0.339,4.7,1.2,0.08,1.3,2.5,27.7,30.43%,5.3,45.39%,32.43%,0.8,30.19%,87.9,42.20%,5.8,2.3,33.33%,10.7,291.1,6.4,4.8,3.2,3.49%,53.03%,1.1,205.6,6.8,1.5,55.9,64.0,0.27,-0.07,4.3,4.97%,1.7,2.7,44.19%,30.1,7.4,46.97%,41.94%,0.8,129.6,4.32%,1.4,0.0,1.7,37.04%,5.0,1.9,-0.3,0.00%,10.9,6.6,5.2,4.3
2003,Kansas City,16.2,49.56%,13.8,48.09%,8.5,92.4,29:06,63.07%,0.2,1.3,1.0,21.9,69.23%,0.5,54.29%,0.4,1.1,4.20%,1.5,0.7,30.0,3.5,10.1,11.6,73.9,30:53,59.50%,0.1,1.5,1.2,20.5,41.67%,0.6,121.1,28.2,2.5,35.0,57.59%,11.8,50.00%,1.3,215.1,1.1,65.7,21.8,0.331,4.3,1.1,0.07,1.6,3.0,28.5,37.25%,7.6,43.42%,45.45%,1.2,40.48%,146.2,38.39%,5.1,2.6,--,10.3,361.3,6.1,5.5,5.1,2.12%,55.13%,1.5,246.8,4.9,1.6,42.8,62.5,0.484,0.153,4.8,3.41%,1.2,3.5,76.27%,28.1,7.6,44.87%,50.75%,2.0,124.5,5.85%,2.2,0.3,2.2,41.98%,5.2,3.9,1.1,0.00%,11.8,7.6,5.9,4.4
2003,LA Chargers,9.1,47.64%,10.4,45.26%,-8.0,73.1,27:55,56.57%,0.1,1.3,0.9,18.1,52.63%,0.6,35.71%,0.8,1.9,2.48%,0.8,1.2,35.9,2.3,16.3,11.1,94.3,32:04,61.45%,0.1,1.6,1.4,20.3,55.56%,0.6,168.2,36.4,3.0,32.8,54.46%,11.1,67.92%,2.3,210.6,1.5,66.9,27.6,0.412,4.6,1.0,0.07,2.2,3.1,32.3,38.15%,7.8,48.18%,22.64%,0.8,39.85%,139.6,42.24%,6.1,3.3,--,10.5,350.2,6.4,5.2,4.3,3.62%,57.05%,1.3,188.8,7.9,1.7,62.9,60.7,0.322,-0.089,5.2,5.23%,1.8,2.9,47.83%,26.1,7.3,42.95%,42.11%,1.0,134.1,5.59%,1.9,0.0,1.3,31.47%,3.9,2.4,-0.7,100.00%,10.2,6.1,5.3,5.1
2003,LA Rams,14.8,51.27%,12.5,53.83%,6.6,79.1,31:27,62.54%,0.3,2.8,2.6,21.1,50.00%,0.5,60.00%,0.9,2.5,4.66%,1.5,1.5,33.1,2.5,11.4,9.2,74.3,28:32,58.10%,0.2,1.7,1.3,17.4,42.86%,0.5,155.1,34.7,2.0,31.6,59.46%,10.4,57.14%,1.4,196.5,1.1,60.9,21.0,0.345,4.5,1.2,0.07,1.6,3.0,26.6,34.46%,6.0,43.77%,23.81%,0.6,39.66%,129.2,37.17%,4.9,2.5,0.00%,10.7,325.7,6.2,5.3,4.8,4.02%,61.42%,1.4,251.6,5.7,1.7,41.2,66.2,0.418,0.073,3.5,6.51%,2.6,4.3,47.95%,25.5,5.9,38.58%,41.67%,1.2,91.8,7.73%,2.6,0.0,2.8,42.36%,5.7,2.8,0.3,50.00%,10.6,7.2,5.2,3.6
2003,Las Vegas,9.8,46.47%,6.9,45.81%,-6.8,64.9,27:44,53.27%,0.1,1.6,1.4,16.1,56.00%,0.9,50.00%,0.8,1.6,3.00%,0.9,0.9,34.8,1.5,13.1,10.4,87.3,32:15,61.24%,0.0,2.1,1.8,19.8,57.14%,0.5,142.7,27.8,2.6,29.2,50.16%,9.9,50.00%,1.3,212.1,1.9,64.8,23.7,0.366,5.1,1.2,0.08,2.0,3.4,34.0,40.06%,7.9,52.51%,50.00%,1.3,42.51%,156.9,37.21%,5.0,2.6,66.67%,11.9,369.0,7.3,5.7,4.6,2.69%,57.04%,0.6,171.7,8.4,1.3,70.0,61.7,0.274,-0.092,6.0,7.64%,2.7,2.1,44.12%,26.5,6.1,42.96%,51.72%,0.9,114.1,5.08%,1.6,0.2,1.6,30.73%,4.2,1.8,-0.1,--,9.9,5.7,4.6,4.3
2003,Miami,12.0,48.40%,7.3,50.93%,3.1,72.5,29:43,57.11%,0.3,1.8,1.4,16.6,50.00%,0.3,48.08%,0.9,2.1,4.16%,1.4,1.2,34.9,1.9,8.4,7.5,70.8,30:16,60.30%,0.2,1.9,1.6,17.7,16.67%,0.1,180.4,36.1,1.4,33.1,60.42%,10.7,46.15%,0.8,208.0,1.9,63.4,16.3,0.257,5.0,1.5,0.08,0.8,2.5,27.5,28.98%,5.1,43.39%,42.31%,0.7,30.43%,91.0,36.49%,5.1,1.6,0.00%,10.4,299.0,6.3,4.7,3.3,4.22%,49.79%,1.1,174.1,6.4,1.4,57.1,60.5,0.321,0.064,5.3,6.64%,2.0,2.5,47.50%,30.4,6.2,50.21%,40.00%,0.9,114.0,7.84%,2.8,0.0,2.3,32.68%,4.2,2.2,0.1,0.00%,10.8,6.7,4.8,3.8
