,season,week,team,stat,data
0,2021,22,Buffalo,average-scoring-margin,11.5
1,2021,22,Dallas,average-scoring-margin,9.2
2,2021,22,Tampa Bay,average-scoring-margin,9.0
3,2021,22,New England,average-scoring-margin,7.2
4,2021,22,Kansas City,average-scoring-margin,7.0
5,2021,22,LA Rams,average-scoring-margin,5.9
6,2021,22,Indianapolis,average-scoring-margin,5.1
7,2021,22,Cincinnati,average-scoring-margin,4.9
8,2021,22,Green Bay,average-scoring-margin,4.2
9,2021,22,Tennessee,average-scoring-margin,3.4
10,2021,22,San Francisco,average-scoring-margin,3.4
11,2021,22,Arizona,average-scoring-margin,3.3
12,2021,22,Philadelphia,average-scoring-margin,2.4
13,2021,22,Seattle,average-scoring-margin,1.7
14,2021,22,New Orleans,average-scoring-margin,1.7
15,2021,22,LA Chargers,average-scoring-margin,0.9
16,2021,22,Denver,average-scoring-margin,0.8
17,2021,22,Minnesota,average-scoring-margin,-0.1
18,2021,22,Baltimore,average-scoring-margin,-0.3
19,2021,22,Cleveland,average-scoring-margin,-1.3
20,2021,22,Miami,average-scoring-margin,-1.9
21,2021,22,Las Vegas,average-scoring-margin,-4.0
22,2021,22,Pittsburgh,average-scoring-margin,-4.2
23,2021,22,Chicago,average-scoring-margin,-5.6
24,2021,22,Washington,average-scoring-margin,-5.8
25,2021,22,Carolina,average-scoring-margin,-5.9
26,2021,22,Detroit,average-scoring-margin,-8.4
27,2021,22,Atlanta,average-scoring-margin,-8.6
28,2021,22,NY Giants,average-scoring-margin,-9.3
29,2021,22,Houston,average-scoring-margin,-10.1
30,2021,22,NY Jets,average-scoring-margin,-11.4
31,2021,22,Jacksonville,average-scoring-margin,-12.0
32,2021,22,Buffalo,points-per-play,0.449
33,2021,22,Dallas,points-per-play,0.447
34,2021,22,Tampa Bay,points-per-play,0.444
35,2021,22,Kansas City,points-per-play,0.439
36,2021,22,LA Rams,points-per-play,0.431
37,2021,22,New England,points-per-play,0.43
38,2021,22,Cincinnati,points-per-play,0.43
