,season,week,team,stat,data
0,2004,21,New England,average-scoring-margin,11.6
1,2004,21,Indianapolis,average-scoring-margin,9.9
2,2004,21,Philadelphia,average-scoring-margin,8.7
3,2004,21,LA Chargers,average-scoring-margin,7.6
4,2004,21,Buffalo,average-scoring-margin,6.9
5,2004,21,Pittsburgh,average-scoring-margin,6.1
6,2004,21,NY Jets,average-scoring-margin,4.0
7,2004,21,Baltimore,average-scoring-margin,3.1
8,2004,21,Denver,average-scoring-margin,3.1
9,2004,21,Kansas City,average-scoring-margin,3.0
10,2004,21,Green Bay,average-scoring-margin,1.8
11,2004,21,Carolina,average-scoring-margin,1.0
12,2004,21,Atlanta,average-scoring-margin,0.9
13,2004,21,Minnesota,average-scoring-margin,0.6
14,2004,21,Cincinnati,average-scoring-margin,0.1
15,2004,21,Tampa Bay,average-scoring-margin,-0.2
16,2004,21,Seattle,average-scoring-margin,-0.5
17,2004,21,Jacksonville,average-scoring-margin,-1.2
18,2004,21,Washington,average-scoring-margin,-1.6
19,2004,21,Houston,average-scoring-margin,-1.9
20,2004,21,Arizona,average-scoring-margin,-2.4
21,2004,21,NY Giants,average-scoring-margin,-2.8
22,2004,21,Detroit,average-scoring-margin,-3.4
23,2004,21,New Orleans,average-scoring-margin,-3.6
24,2004,21,Miami,average-scoring-margin,-4.9
25,2004,21,LA Rams,average-scoring-margin,-5.3
26,2004,21,Tennessee,average-scoring-margin,-5.9
27,2004,21,Chicago,average-scoring-margin,-6.3
28,2004,21,Dallas,average-scoring-margin,-7.0
29,2004,21,Cleveland,average-scoring-margin,-7.1
30,2004,21,Las Vegas,average-scoring-margin,-7.6
31,2004,21,San Francisco,average-scoring-margin,-12.1
32,2004,21,Indianapolis,points-per-play,0.53
33,2004,21,Kansas City,points-per-play,0.444
34,2004,21,LA Chargers,points-per-play,0.432
35,2004,21,New England,points-per-play,0.43
36,2004,21,Philadelphia,points-per-play,0.407
37,2004,21,Minnesota,points-per-play,0.403
38,2004,21,Buffalo,points-per-play,0.403
39,2004,21,Green Bay,points-per-play,0.394
40,2004,21,Cincinnati,points-per-play,0.373
41,2004,21,Atlanta,points-per-play,0.367
42,2004,21,Pittsburgh,points-per-play,0.365
43,2004,21,Denver,points-per-play,0.359
