,season,week,team,stat,data
0,2015,21,Carolina,average-scoring-margin,12.9
1,2015,21,New England,average-scoring-margin,8.6
2,2015,21,Arizona,average-scoring-margin,8.2
3,2015,21,Cincinnati,average-scoring-margin,8.1
4,2015,21,Kansas City,average-scoring-margin,7.8
5,2015,21,Seattle,average-scoring-margin,7.8
6,2015,21,Pittsburgh,average-scoring-margin,5.5
7,2015,21,NY Jets,average-scoring-margin,4.6
8,2015,21,Denver,average-scoring-margin,3.8
9,2015,21,Minnesota,average-scoring-margin,3.6
10,2015,21,Green Bay,average-scoring-margin,3.1
11,2015,21,Buffalo,average-scoring-margin,1.3
12,2015,21,Houston,average-scoring-margin,-0.2
13,2015,21,Atlanta,average-scoring-margin,-0.4
14,2015,21,Washington,average-scoring-margin,-0.5
15,2015,21,NY Giants,average-scoring-margin,-1.4
16,2015,21,Las Vegas,average-scoring-margin,-2.5
17,2015,21,Detroit,average-scoring-margin,-2.6
18,2015,21,LA Rams,average-scoring-margin,-3.1
19,2015,21,Philadelphia,average-scoring-margin,-3.3
20,2015,21,Chicago,average-scoring-margin,-3.9
21,2015,21,New Orleans,average-scoring-margin,-4.3
22,2015,21,Jacksonville,average-scoring-margin,-4.5
23,2015,21,Baltimore,average-scoring-margin,-4.6
24,2015,21,Tampa Bay,average-scoring-margin,-4.7
25,2015,21,Indianapolis,average-scoring-margin,-4.7
26,2015,21,LA Chargers,average-scoring-margin,-4.9
27,2015,21,Miami,average-scoring-margin,-4.9
28,2015,21,Dallas,average-scoring-margin,-6.2
29,2015,21,Tennessee,average-scoring-margin,-7.8
30,2015,21,San Francisco,average-scoring-margin,-9.3
31,2015,21,Cleveland,average-scoring-margin,-9.6
32,2015,21,Carolina,points-per-play,0.487
33,2015,21,Arizona,points-per-play,0.455
34,2015,21,New England,points-per-play,0.431
35,2015,21,Kansas City,points-per-play,0.414
36,2015,21,Cincinnati,points-per-play,0.406
37,2015,21,Pittsburgh,points-per-play,0.401
38,2015,21,NY Giants,points-per-play,0.399
39,2015,21,Seattle,points-per-play,0.395
40,2015,21,Washington,points-per-play,0.376
41,2015,21,Buffalo,points-per-play,0.373
42,2015,21,New Orleans,points-per-play,0.372
43,2015,21,Jacksonville,points-per-play,0.372
44,2015,21,Minnesota,points-per-play,0.363
45,2015,21,NY Jets,points-per-play,0.36
46,2015,21,Las Vegas,points-per-play,0.356
47,2015,21,Green Bay,points-per-play,0.355
48,2015,21,Detroit,points-per-play,0.348
49,2015,21,Philadelphia,points-per-play,0.342
50,2015,21,Tampa Bay,points-per-play,0.337
51,2015,21,Denver,points-per-play,0.334
52,2015,21,Chicago,points-per-play,0.327
53,2015,21,Miami,points-per-play,0.317
54,2015,21,Indianapolis,points-per-play,0.317
55,2015,21,Atlanta,points-per-play,0.316
56,2015,21,Tennessee,points-per-play,0.306
57,2015,21,LA Rams,points-per-play,0.304
58,2015,21,Baltimore,points-per-play,0.303
59,2015,21,LA Chargers,points-per-play,0.291
60,2015,21,Houston,points-per-play,0.285
61,2015,21,Dallas,points-per-play,0.284
62,2015,21,Cleveland,points-per-play,0.267
63,2015,21,San Francisco,points-per-play,0.246
64,2015,21,Carolina,points-per-play-margin,0.194
65,2015,21,Kansas City,points-per-play-margin,0.142
66,2015,21,Cincinnati,points-per-play-margin,0.136
67,2015,21,New England,points-per-play-margin,0.133
68,2015,21,Arizona,points-per-play-margin,0.113
